atlas,period,guild_pair_type,guild_1,guild_2,guild_pair,n_pairs,unstable_small_pair_count,metric,observed_value,expected_null_mean,expected_null_sd,null_lower_95,null_upper_95,empirical_p_upper,empirical_p_lower,observed_minus_expected,permutation_z,empirical_p_two_sided,fdr_p,fdr_0_05
1,1970s,Between guild,Aerial insectivores,Flycatchers,Aerial insectivores | Flycatchers,12,FALSE,mean_omega,0.7605316310946559,0.3705704305543055,0.11573133022554086,0.13593450753539757,0.5911144569394152,0.001,1,0.38996120054035044,3.3695387392539407,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Aerial insectivores,Omnivorous corvids,Aerial insectivores | Omnivorous corvids,28,FALSE,mean_omega,0.6664780184656818,0.36347902432282,0.08318074337947948,0.19887345853049304,0.5165580580350868,0.001,1,0.3029989941428618,3.6426579257719287,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Aerial insectivores,Starlings,Aerial insectivores | Starlings,4,TRUE,mean_omega,0.8599727040608778,0.35415042165131155,0.19288006734165203,-0.05218031919805926,0.6893915599033953,0.001,1,0.5058222824095662,2.622470478059269,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Aquatic pursuers,Dabbling ducks,Aquatic pursuers | Dabbling ducks,42,FALSE,mean_omega,0.6366041133298763,0.364992974610739,0.07313516385633384,0.22373231324799492,0.5063163404428436,0.001,1,0.27161113871913733,3.7138241633352758,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Aquatic pursuers,Grazing waterfowl,Aquatic pursuers | Grazing waterfowl,12,FALSE,mean_omega,0.7376729818999515,0.36570282140862176,0.11437469369066397,0.12277916405466249,0.5834121442605794,0.001,1,0.3719701604913297,3.252206834296356,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Aquatic pursuers,Passerine seedeaters,Aquatic pursuers | Passerine seedeaters,72,FALSE,mean_omega,0.08946950238442641,0.365131788087421,0.0596570211901928,0.24605957160254627,0.48019684546568087,1,0.001,-0.2756622857029946,-4.620785285677515,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Columbids,Gulls,Columbids | Gulls,20,FALSE,mean_omega,-0.016410403023023185,0.3646346121197429,0.09122161227802075,0.1879933026011318,0.5364256539523782,1,0.001,-0.3810450151427661,-4.177135282167956,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Dabbling ducks,Foliage gleaners,Dabbling ducks | Foliage gleaners,63,FALSE,mean_omega,0.11209748679630248,0.3671972288988239,0.0644668642812622,0.2316294602006583,0.49393023097944744,1,0.001,-0.2550997421025214,-3.957067633839732,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Dabbling ducks,Marsh warblers,Dabbling ducks | Marsh warblers,42,FALSE,mean_omega,0.6705700166697679,0.3684256913981034,0.07100260131129744,0.2282166345987763,0.5115329014397433,0.001,1,0.3021443252716645,4.2553979669979975,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Dabbling ducks,Rails,Dabbling ducks | Rails,35,FALSE,mean_omega,0.7773735347537207,0.3633203162956443,0.07812639774925932,0.20697598773820947,0.5098386177463338,0.001,1,0.4140532184580764,5.299786376775599,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Dabbling ducks,Tit-like birds,Dabbling ducks | Tit-like birds,84,FALSE,mean_omega,0.13559146833154864,0.3665333957452679,0.05967114203018269,0.24914634989678058,0.4813782180507235,1,0.001,-0.23094192741371924,-3.8702448043797255,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Dabbling ducks,Woodpeckers,Dabbling ducks | Woodpeckers,35,FALSE,mean_omega,0.020278089008112173,0.3663323415132975,0.07861269017463685,0.21394953050858428,0.5343036883646438,1,0.001,-0.34605425250518534,-4.402015142039171,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Diurnal raptors,Gulls,Diurnal raptors | Gulls,35,FALSE,mean_omega,0.005557962131083184,0.3614727963397152,0.07519409726941348,0.21266337871285437,0.511360212749683,1,0.001,-0.355914834208632,-4.733281562426664,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Diurnal raptors,Plovers,Diurnal raptors | Plovers,42,FALSE,mean_omega,0.09733550222632883,0.36839705196772055,0.07213917895476962,0.22882422681511597,0.5144735894411173,1,0.001,-0.27106154974139174,-3.757480382627365,0.002,0.030678260869565217,TRUE
1,1970s,Between guild,Diving ducks,Tit-like birds,Diving ducks | Tit-like birds,36,FALSE,mean_omega,0.06752436654636546,0.362444447805973,0.0810866947016778,0.19631113288434074,0.519135795043681,1,0.001,-0.29492008125960756,-3.6370958557952573,0.002,0.030678260869565217,TRUE
