model_folder,atlas,period,species_a,species_b,omega_mean,pr_positive,pr_negative,pair_id,support_class,is_supported_positive,is_supported_negative,guild_a,migration_group_a,species_thermal_index_a,guild_b,migration_group_b,species_thermal_index_b,guild_1,guild_2,guild_pair,guild_pair_type
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Accipiter_nisus,Astur_gentilis,0.6703244885116526,0.997,0.003,Accipiter_nisus__Astur_gentilis,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,11.9162821341,Diurnal raptors,sedentary,11.8007973825,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Accipiter_nisus,Buteo_buteo,0.7794785752690676,1,0,Accipiter_nisus__Buteo_buteo,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,11.9162821341,Diurnal raptors,sedentary and short-distance,12.6973693303,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Buteo_buteo,0.9195172109220722,1,0,Astur_gentilis__Buteo_buteo,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary,11.8007973825,Diurnal raptors,sedentary and short-distance,12.6973693303,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Accipiter_nisus,Circus_aeruginosus,-0.06640451403687395,0.348,0.652,Accipiter_nisus__Circus_aeruginosus,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary and short-distance,11.9162821341,Diurnal raptors,short-and long-distance,13.2259231132,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Circus_aeruginosus,0.1165973901694513,0.706,0.294,Astur_gentilis__Circus_aeruginosus,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary,11.8007973825,Diurnal raptors,short-and long-distance,13.2259231132,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Buteo_buteo,Circus_aeruginosus,0.140897963269201,0.798,0.202,Buteo_buteo__Circus_aeruginosus,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary and short-distance,12.6973693303,Diurnal raptors,short-and long-distance,13.2259231132,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Accipiter_nisus,Circus_pygargus,-0.01950825395574639,0.464,0.536,Accipiter_nisus__Circus_pygargus,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary and short-distance,11.9162821341,Diurnal raptors,long-distance,13.6904029809,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Circus_pygargus,-0.2355319477477704,0.082,0.918,Astur_gentilis__Circus_pygargus,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary,11.8007973825,Diurnal raptors,long-distance,13.6904029809,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Buteo_buteo,Circus_pygargus,-0.2939517809345342,0.031,0.969,Buteo_buteo__Circus_pygargus,Supported negative,FALSE,TRUE,Diurnal raptors,sedentary and short-distance,12.6973693303,Diurnal raptors,long-distance,13.6904029809,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_aeruginosus,Circus_pygargus,0.5975874687053607,0.961,0.039,Circus_aeruginosus__Circus_pygargus,Supported positive,TRUE,FALSE,Diurnal raptors,short-and long-distance,13.2259231132,Diurnal raptors,long-distance,13.6904029809,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Accipiter_nisus,Pernis_apivorus,0.623701192950439,0.992,0.008,Accipiter_nisus__Pernis_apivorus,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,11.9162821341,Diurnal raptors,long-distance,11.9608484505,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Pernis_apivorus,0.954823747023948,1,0,Astur_gentilis__Pernis_apivorus,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary,11.8007973825,Diurnal raptors,long-distance,11.9608484505,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Buteo_buteo,Pernis_apivorus,0.938294979580987,1,0,Buteo_buteo__Pernis_apivorus,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,12.6973693303,Diurnal raptors,long-distance,11.9608484505,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_aeruginosus,Pernis_apivorus,0.2823174968778556,0.966,0.034,Circus_aeruginosus__Pernis_apivorus,Supported positive,TRUE,FALSE,Diurnal raptors,short-and long-distance,13.2259231132,Diurnal raptors,long-distance,11.9608484505,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_pygargus,Pernis_apivorus,-0.1939269532789724,0.167,0.833,Circus_pygargus__Pernis_apivorus,Unsupported,FALSE,FALSE,Diurnal raptors,long-distance,13.6904029809,Diurnal raptors,long-distance,11.9608484505,Diurnal raptors,Diurnal raptors,Diurnal raptors,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Accipiter_nisus,Anas_acuta,-0.0701961727926685,0.281,0.719,Accipiter_nisus__Anas_acuta,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary and short-distance,11.9162821341,Dabbling ducks,short-distance,8.5273453088,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Anas_acuta,-0.3396840780593668,0.012,0.988,Astur_gentilis__Anas_acuta,Supported negative,FALSE,TRUE,Diurnal raptors,sedentary,11.8007973825,Dabbling ducks,short-distance,8.5273453088,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Buteo_buteo,Anas_acuta,-0.08729376603055389,0.2,0.8,Buteo_buteo__Anas_acuta,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary and short-distance,12.6973693303,Dabbling ducks,short-distance,8.5273453088,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_aeruginosus,Anas_acuta,0.6155247442773439,1,0,Circus_aeruginosus__Anas_acuta,Supported positive,TRUE,FALSE,Diurnal raptors,short-and long-distance,13.2259231132,Dabbling ducks,short-distance,8.5273453088,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_pygargus,Anas_acuta,0.3380041537054727,0.959,0.041,Circus_pygargus__Anas_acuta,Supported positive,TRUE,FALSE,Diurnal raptors,long-distance,13.6904029809,Dabbling ducks,short-distance,8.5273453088,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Pernis_apivorus,Anas_acuta,-0.1669458853359562,0.118,0.882,Pernis_apivorus__Anas_acuta,Unsupported,FALSE,FALSE,Diurnal raptors,long-distance,11.9608484505,Dabbling ducks,short-distance,8.5273453088,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Accipiter_nisus,Anas_crecca,0.2773556160761368,0.999,0.001,Accipiter_nisus__Anas_crecca,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,11.9162821341,Dabbling ducks,short-distance,10.071290709,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Anas_crecca,-0.1560452059032163,0.138,0.862,Astur_gentilis__Anas_crecca,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary,11.8007973825,Dabbling ducks,short-distance,10.071290709,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Buteo_buteo,Anas_crecca,0.0362519870025733,0.629,0.371,Buteo_buteo__Anas_crecca,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary and short-distance,12.6973693303,Dabbling ducks,short-distance,10.071290709,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_aeruginosus,Anas_crecca,0.641459067240723,0.998,0.002,Circus_aeruginosus__Anas_crecca,Supported positive,TRUE,FALSE,Diurnal raptors,short-and long-distance,13.2259231132,Dabbling ducks,short-distance,10.071290709,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_pygargus,Anas_crecca,0.6553466135450112,1,0,Circus_pygargus__Anas_crecca,Supported positive,TRUE,FALSE,Diurnal raptors,long-distance,13.6904029809,Dabbling ducks,short-distance,10.071290709,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Pernis_apivorus,Anas_crecca,-0.03658233774056278,0.459,0.541,Pernis_apivorus__Anas_crecca,Unsupported,FALSE,FALSE,Diurnal raptors,long-distance,11.9608484505,Dabbling ducks,short-distance,10.071290709,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Anas_acuta,Anas_crecca,0.789829580527949,1,0,Anas_acuta__Anas_crecca,Supported positive,TRUE,FALSE,Dabbling ducks,short-distance,8.5273453088,Dabbling ducks,short-distance,10.071290709,Dabbling ducks,Dabbling ducks,Dabbling ducks,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Accipiter_nisus,Anas_platyrhynchos,0.4706148023926602,1,0,Accipiter_nisus__Anas_platyrhynchos,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,11.9162821341,Dabbling ducks,sedentary and short-distance,11.8110548425,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Anas_platyrhynchos,0.1514829712526111,0.931,0.069,Astur_gentilis__Anas_platyrhynchos,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary,11.8007973825,Dabbling ducks,sedentary and short-distance,11.8110548425,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Buteo_buteo,Anas_platyrhynchos,0.4046602638069295,1,0,Buteo_buteo__Anas_platyrhynchos,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,12.6973693303,Dabbling ducks,sedentary and short-distance,11.8110548425,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_aeruginosus,Anas_platyrhynchos,0.6197050108114215,1,0,Circus_aeruginosus__Anas_platyrhynchos,Supported positive,TRUE,FALSE,Diurnal raptors,short-and long-distance,13.2259231132,Dabbling ducks,sedentary and short-distance,11.8110548425,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_pygargus,Anas_platyrhynchos,0.3365755797098692,0.981,0.019,Circus_pygargus__Anas_platyrhynchos,Supported positive,TRUE,FALSE,Diurnal raptors,long-distance,13.6904029809,Dabbling ducks,sedentary and short-distance,11.8110548425,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Pernis_apivorus,Anas_platyrhynchos,0.2910739301455656,0.998,0.002,Pernis_apivorus__Anas_platyrhynchos,Supported positive,TRUE,FALSE,Diurnal raptors,long-distance,11.9608484505,Dabbling ducks,sedentary and short-distance,11.8110548425,Dabbling ducks,Diurnal raptors,Dabbling ducks | Diurnal raptors,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Anas_acuta,Anas_platyrhynchos,0.787020354527138,1,0,Anas_acuta__Anas_platyrhynchos,Supported positive,TRUE,FALSE,Dabbling ducks,short-distance,8.5273453088,Dabbling ducks,sedentary and short-distance,11.8110548425,Dabbling ducks,Dabbling ducks,Dabbling ducks,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Anas_crecca,Anas_platyrhynchos,0.8838976593882005,1,0,Anas_crecca__Anas_platyrhynchos,Supported positive,TRUE,FALSE,Dabbling ducks,short-distance,10.071290709,Dabbling ducks,sedentary and short-distance,11.8110548425,Dabbling ducks,Dabbling ducks,Dabbling ducks,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Accipiter_nisus,Anser_anser,-0.06721586880108302,0.445,0.555,Accipiter_nisus__Anser_anser,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary and short-distance,11.9162821341,Grazing waterfowl,sedentary and short-distance,11.1956416463,Diurnal raptors,Grazing waterfowl,Diurnal raptors | Grazing waterfowl,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Astur_gentilis,Anser_anser,0.2437617038867293,0.862,0.138,Astur_gentilis__Anser_anser,Unsupported,FALSE,FALSE,Diurnal raptors,sedentary,11.8007973825,Grazing waterfowl,sedentary and short-distance,11.1956416463,Diurnal raptors,Grazing waterfowl,Diurnal raptors | Grazing waterfowl,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Buteo_buteo,Anser_anser,0.3146929254758538,0.996,0.004,Buteo_buteo__Anser_anser,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,12.6973693303,Grazing waterfowl,sedentary and short-distance,11.1956416463,Diurnal raptors,Grazing waterfowl,Diurnal raptors | Grazing waterfowl,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_aeruginosus,Anser_anser,0.8894954124947188,1,0,Circus_aeruginosus__Anser_anser,Supported positive,TRUE,FALSE,Diurnal raptors,short-and long-distance,13.2259231132,Grazing waterfowl,sedentary and short-distance,11.1956416463,Diurnal raptors,Grazing waterfowl,Diurnal raptors | Grazing waterfowl,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Circus_pygargus,Anser_anser,0.2545706647080745,0.722,0.278,Circus_pygargus__Anser_anser,Unsupported,FALSE,FALSE,Diurnal raptors,long-distance,13.6904029809,Grazing waterfowl,sedentary and short-distance,11.1956416463,Diurnal raptors,Grazing waterfowl,Diurnal raptors | Grazing waterfowl,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Pernis_apivorus,Anser_anser,0.4330876656781231,0.997,0.003,Pernis_apivorus__Anser_anser,Supported positive,TRUE,FALSE,Diurnal raptors,long-distance,11.9608484505,Grazing waterfowl,sedentary and short-distance,11.1956416463,Diurnal raptors,Grazing waterfowl,Diurnal raptors | Grazing waterfowl,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Anas_acuta,Anser_anser,0.5893602186882261,0.999,0.001,Anas_acuta__Anser_anser,Supported positive,TRUE,FALSE,Dabbling ducks,short-distance,8.5273453088,Grazing waterfowl,sedentary and short-distance,11.1956416463,Dabbling ducks,Grazing waterfowl,Dabbling ducks | Grazing waterfowl,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Anas_crecca,Anser_anser,0.4848881443285767,0.909,0.091,Anas_crecca__Anser_anser,Unsupported,FALSE,FALSE,Dabbling ducks,short-distance,10.071290709,Grazing waterfowl,sedentary and short-distance,11.1956416463,Dabbling ducks,Grazing waterfowl,Dabbling ducks | Grazing waterfowl,Between guild
