"period","support_class","intraguild_status","n_pairs","total_supported_pairs","percent","proportion","n_all_pairs","total_all_pairs","baseline_percent_all_pairs","baseline_proportion_all_pairs","percent_minus_all_pair_baseline"
"1970s","Supported positive","Intraguild",310,6934,4.47072396884915,0.0447072396884915,444,12246,3.62567368936796,0.0362567368936796,0.845050279481192
"1970s","Supported positive","Between guilds",6624,6934,95.5292760311509,0.955292760311509,11802,12246,96.374326310632,0.96374326310632,-0.845050279481185
"1990s","Supported positive","Intraguild",376,7983,4.71000876863335,0.0471000876863335,444,12246,3.62567368936796,0.0362567368936796,1.08433507926539
"1990s","Supported positive","Between guilds",7607,7983,95.2899912313667,0.952899912313667,11802,12246,96.374326310632,0.96374326310632,-1.08433507926539
"2010s","Supported positive","Intraguild",328,7106,4.61581761891359,0.0461581761891359,444,12246,3.62567368936796,0.0362567368936796,0.990143929545637
"2010s","Supported positive","Between guilds",6778,7106,95.3841823810864,0.953841823810864,11802,12246,96.374326310632,0.96374326310632,-0.990143929545638
"1970s","Supported negative","Intraguild",5,305,1.63934426229508,0.0163934426229508,444,12246,3.62567368936796,0.0362567368936796,-1.98632942707287
"1970s","Supported negative","Between guilds",300,305,98.3606557377049,0.983606557377049,11802,12246,96.374326310632,0.96374326310632,1.98632942707287
"1990s","Supported negative","Intraguild",3,361,0.831024930747922,0.00831024930747922,444,12246,3.62567368936796,0.0362567368936796,-2.79464875862003
"1990s","Supported negative","Between guilds",358,361,99.1689750692521,0.991689750692521,11802,12246,96.374326310632,0.96374326310632,2.79464875862004
"2010s","Supported negative","Intraguild",5,622,0.803858520900322,0.00803858520900321,444,12246,3.62567368936796,0.0362567368936796,-2.82181516846764
"2010s","Supported negative","Between guilds",617,622,99.1961414790997,0.991961414790997,11802,12246,96.374326310632,0.96374326310632,2.82181516846764
