"period","support_class","migration_pair_status","n_pairs","total_supported_pairs","percent","proportion","n_all_pairs","total_all_pairs","baseline_percent_all_pairs","baseline_proportion_all_pairs","percent_minus_all_pair_baseline"
"1970s","Supported positive","Within strategy",1739,6934,25.0793192962215,0.250793192962215,2775,12246,22.6604605585497,0.226604605585497,2.41885873767179
"1970s","Supported positive","Between strategies",5195,6934,74.9206807037785,0.749206807037785,9471,12246,77.3395394414503,0.773395394414503,-2.41885873767178
"1990s","Supported positive","Within strategy",1920,7983,24.0511086057873,0.240511086057873,2775,12246,22.6604605585497,0.226604605585497,1.39064804723757
"1990s","Supported positive","Between strategies",6063,7983,75.9488913942127,0.759488913942127,9471,12246,77.3395394414503,0.773395394414503,-1.39064804723756
"2010s","Supported positive","Within strategy",1730,7106,24.3456234168308,0.243456234168308,2775,12246,22.6604605585497,0.226604605585497,1.68516285828112
"2010s","Supported positive","Between strategies",5376,7106,75.6543765831692,0.756543765831692,9471,12246,77.3395394414503,0.773395394414503,-1.68516285828112
"1970s","Supported negative","Within strategy",52,305,17.0491803278689,0.170491803278689,2775,12246,22.6604605585497,0.226604605585497,-5.61128023068088
"1970s","Supported negative","Between strategies",253,305,82.9508196721311,0.829508196721311,9471,12246,77.3395394414503,0.773395394414503,5.61128023068088
"1990s","Supported negative","Within strategy",50,361,13.8504155124654,0.138504155124654,2775,12246,22.6604605585497,0.226604605585497,-8.81004504608436
"1990s","Supported negative","Between strategies",311,361,86.1495844875346,0.861495844875346,9471,12246,77.3395394414503,0.773395394414503,8.81004504608435
"2010s","Supported negative","Within strategy",131,622,21.0610932475884,0.210610932475884,2775,12246,22.6604605585497,0.226604605585497,-1.59936731096131
"2010s","Supported negative","Between strategies",491,622,78.9389067524116,0.789389067524116,9471,12246,77.3395394414503,0.773395394414503,1.5993673109613
