pair_id,species_a,species_b,guild_a,guild_b,guild_1,guild_2,guild_pair,guild_pair_type,omega_mean_1970s,omega_mean_1990s,omega_mean_2010s,pr_positive_1970s,pr_positive_1990s,pr_positive_2010s,pr_negative_1970s,pr_negative_1990s,pr_negative_2010s,support_class_1970s,support_class_1990s,support_class_2010s,delta_1990s_minus_1970s,delta_2010s_minus_1970s,abs_delta_2010s_minus_1970s,raw_sign_flip_1970s_to_2010s,support_transition_1970s_to_2010s,newly_supported_2010s,lost_supported_2010s,supported_positive_to_negative_2010s,supported_negative_to_positive_2010s
Turdus_pilaris__Athene_noctua,Turdus_pilaris,Athene_noctua,Thrushes,Owls,Owls,Thrushes,Owls | Thrushes,Between guild,0.9158646314060651,-0.4455683080933394,-0.6813026935520606,1,0.012,0.026,0,0.988,0.974,Supported positive,Supported negative,Supported negative,-1.3614329394994045,-1.5971673249581257,1.5971673249581257,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Coloeus_monedula__Athene_noctua,Coloeus_monedula,Athene_noctua,Omnivorous corvids,Owls,Omnivorous corvids,Owls,Omnivorous corvids | Owls,Between guild,0.8408550376177412,0.003967965658279563,-0.5733549232010863,1,0.566,0.018,0,0.434,0.982,Supported positive,Unsupported,Supported negative,-0.8368870719594615,-1.4142099608188274,1.4142099608188274,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Lophophanes_cristatus__Turdus_pilaris,Lophophanes_cristatus,Turdus_pilaris,Tit-like birds,Thrushes,Thrushes,Tit-like birds,Thrushes | Tit-like birds,Between guild,0.9299904065477181,-0.2334873469031091,-0.4736106419067909,1,0.082,0.024,0,0.918,0.976,Supported positive,Unsupported,Supported negative,-1.1634777534508272,-1.403601048454509,1.403601048454509,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Mergus_merganser__Turdus_pilaris,Mergus_merganser,Turdus_pilaris,Aquatic pursuers,Thrushes,Aquatic pursuers,Thrushes,Aquatic pursuers | Thrushes,Between guild,-0.6200028287524726,-0.08779946558539602,0.7366150398693232,0.024,0.37,0.999,0.976,0.63,0.001,Supported negative,Unsupported,Supported positive,0.5322033631670766,1.3566178686217958,1.3566178686217958,TRUE,Supported negative -> Supported positive,FALSE,FALSE,FALSE,TRUE
Falco_tinnunculus__Lanius_excubitor,Falco_tinnunculus,Lanius_excubitor,Diurnal raptors,Shrikes,Diurnal raptors,Shrikes,Diurnal raptors | Shrikes,Between guild,0.7829100146045146,-0.04805856952096395,-0.5242007005581822,0.998,0.419,0.072,0.002,0.581,0.928,Supported positive,Unsupported,Unsupported,-0.8309685841254786,-1.3071107151626968,1.3071107151626968,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Emberiza_calandra__Turdus_pilaris,Emberiza_calandra,Turdus_pilaris,Buntings,Thrushes,Buntings,Thrushes,Buntings | Thrushes,Between guild,0.8283182147534751,0.4738484239032848,-0.4626927106725471,1,0.898,0.093,0,0.102,0.907,Supported positive,Unsupported,Unsupported,-0.3544697908501903,-1.2910109254260222,1.2910109254260222,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Lanius_excubitor__Periparus_ater,Lanius_excubitor,Periparus_ater,Shrikes,Tit-like birds,Shrikes,Tit-like birds,Shrikes | Tit-like birds,Between guild,0.8298139391411586,0.08436107973115892,-0.4453640451836756,0.999,0.659,0.112,0.001,0.341,0.888,Supported positive,Unsupported,Unsupported,-0.7454528594099997,-1.2751779843248343,1.2751779843248343,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Lanius_excubitor__Asio_otus,Lanius_excubitor,Asio_otus,Shrikes,Owls,Owls,Shrikes,Owls | Shrikes,Between guild,0.8102385358249438,0.2044494217878945,-0.4439626255141366,0.998,0.791,0.115,0.002,0.209,0.885,Supported positive,Unsupported,Unsupported,-0.6057891140370493,-1.2542011613390804,1.2542011613390804,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Accipiter_nisus__Lanius_excubitor,Accipiter_nisus,Lanius_excubitor,Diurnal raptors,Shrikes,Diurnal raptors,Shrikes,Diurnal raptors | Shrikes,Between guild,0.721508186523826,-0.06155013802357478,-0.5321054368732365,0.995,0.455,0.075,0.005,0.545,0.925,Supported positive,Unsupported,Unsupported,-0.7830583245474008,-1.2536136233970625,1.2536136233970625,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Asio_otus__Athene_noctua,Asio_otus,Athene_noctua,Owls,Owls,Owls,Owls,Owls,Within guild,0.9517173502674239,0.2671305452628668,-0.3003125728607994,1,0.995,0.132,0,0.005,0.868,Supported positive,Supported positive,Unsupported,-0.6845868050045572,-1.2520299231282233,1.2520299231282233,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
Strix_aluco__Tyto_alba,Strix_aluco,Tyto_alba,Owls,Owls,Owls,Owls,Owls,Within guild,0.9015620522243871,-0.3038535271602517,-0.3331157410518604,1,0.101,0.036,0,0.899,0.964,Supported positive,Unsupported,Supported negative,-1.2054155793846388,-1.2346777932762476,1.2346777932762476,TRUE,Supported positive -> Supported negative,FALSE,FALSE,TRUE,FALSE
Limosa_limosa__Asio_flammeus,Limosa_limosa,Asio_flammeus,Scolopacids,Owls,Owls,Scolopacids,Owls | Scolopacids,Between guild,0.8809118138537184,0.6123200327835504,-0.3523318116141745,1,0.987,0.134,0,0.013,0.866,Supported positive,Supported positive,Unsupported,-0.268591781070168,-1.233243625467893,1.233243625467893,TRUE,Supported positive -> Unsupported,FALSE,TRUE,FALSE,FALSE
