model_folder,atlas,period,species_a,species_b,omega_mean,pr_positive,pr_negative,pair_id,support_class,is_supported_positive,is_supported_negative,guild_a,migration_group_a,species_thermal_index_a,guild_b,migration_group_b,species_thermal_index_b,guild_1,guild_2,guild_pair,guild_pair_type
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Charadrius_hiaticula,Haematopus_ostralegus,0.9893098370687426,1,0,Charadrius_hiaticula__Haematopus_ostralegus,Supported positive,TRUE,FALSE,Plovers,short-distance,8.2214626932,Plovers,short-distance,10.4739718085,Plovers,Plovers,Plovers,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Certhia_familiaris,Phylloscopus_sibilatrix,0.989093424631246,1,0,Certhia_familiaris__Phylloscopus_sibilatrix,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,11.119463211,Foliage gleaners,long-distance,11.3755910555,Foliage gleaners,Tit-like birds,Foliage gleaners | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Curruca_curruca,Hippolais_icterina,0.9886314089316465,1,0,Curruca_curruca__Hippolais_icterina,Supported positive,TRUE,FALSE,Foliage gleaners,long-distance,11.6399285102,Foliage gleaners,long-distance,11.3916568563,Foliage gleaners,Foliage gleaners,Foliage gleaners,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Phylloscopus_collybita,Poecile_palustris,0.9881585135819352,1,0,Phylloscopus_collybita__Poecile_palustris,Supported positive,TRUE,FALSE,Foliage gleaners,short-distance,11.9465889491,Tit-like birds,sedentary,12.3251392514,Foliage gleaners,Tit-like birds,Foliage gleaners | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Aegithalos_caudatus,Phylloscopus_sibilatrix,0.9880234806106366,1,0,Aegithalos_caudatus__Phylloscopus_sibilatrix,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,12.6607518772,Foliage gleaners,long-distance,11.3755910555,Foliage gleaners,Tit-like birds,Foliage gleaners | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Poecile_palustris,Pyrrhula_pyrrhula,0.9861836014143293,1,0,Poecile_palustris__Pyrrhula_pyrrhula,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,12.3251392514,Passerine seedeaters,short-distance,10.756294956,Passerine seedeaters,Tit-like birds,Passerine seedeaters | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Acrocephalus_schoenobaenus,Emberiza_schoeniclus,0.9853241114604374,1,0,Acrocephalus_schoenobaenus__Emberiza_schoeniclus,Supported positive,TRUE,FALSE,Marsh warblers,long-distance,11.3913898283,Buntings,sedentary and short-distance,11.2704483494,Buntings,Marsh warblers,Buntings | Marsh warblers,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Rallus_aquaticus,Acrocephalus_scirpaceus,0.9828409317675728,1,0,Rallus_aquaticus__Acrocephalus_scirpaceus,Supported positive,TRUE,FALSE,Rails,sedentary and short-distance,13.3215188918,Marsh warblers,long-distance,13.1524057431,Marsh warblers,Rails,Marsh warblers | Rails,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Gallinago_gallinago,Acrocephalus_schoenobaenus,0.9821643525688085,1,0,Gallinago_gallinago__Acrocephalus_schoenobaenus,Supported positive,TRUE,FALSE,Scolopacids,short-distance,10.2670472691,Marsh warblers,long-distance,11.3913898283,Marsh warblers,Scolopacids,Marsh warblers | Scolopacids,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Spatula_clypeata,Spatula_querquedula,0.9815927124428327,1,0,Spatula_clypeata__Spatula_querquedula,Supported positive,TRUE,FALSE,Dabbling ducks,short-distance,11.7556216717,Dabbling ducks,long-distance,12.389627827,Dabbling ducks,Dabbling ducks,Dabbling ducks,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Aegithalos_caudatus,Certhia_familiaris,0.9815851601182446,1,0,Aegithalos_caudatus__Certhia_familiaris,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,12.6607518772,Tit-like birds,sedentary,11.119463211,Tit-like birds,Tit-like birds,Tit-like birds,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Phylloscopus_collybita,Pyrrhula_pyrrhula,0.9809719961156989,1,0,Phylloscopus_collybita__Pyrrhula_pyrrhula,Supported positive,TRUE,FALSE,Foliage gleaners,short-distance,11.9465889491,Passerine seedeaters,short-distance,10.756294956,Foliage gleaners,Passerine seedeaters,Foliage gleaners | Passerine seedeaters,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Certhia_familiaris,Sitta_europaea,0.9809437563468789,1,0,Certhia_familiaris__Sitta_europaea,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,11.119463211,Tit-like birds,sedentary,12.7946675987,Tit-like birds,Tit-like birds,Tit-like birds,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Coloeus_monedula,Pica_pica,0.9801176183311707,1,0,Coloeus_monedula__Pica_pica,Supported positive,TRUE,FALSE,Omnivorous corvids,sedentary and short-distance,12.9581704982,Omnivorous corvids,sedentary,12.155826028,Omnivorous corvids,Omnivorous corvids,Omnivorous corvids,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Aegithalos_caudatus,Phylloscopus_collybita,0.9791635190948325,1,0,Aegithalos_caudatus__Phylloscopus_collybita,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,12.6607518772,Foliage gleaners,short-distance,11.9465889491,Foliage gleaners,Tit-like birds,Foliage gleaners | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Poecile_palustris,Dendrocopos_major,0.9786330350828014,1,0,Poecile_palustris__Dendrocopos_major,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,12.3251392514,Woodpeckers,sedentary,12.1154284266,Tit-like birds,Woodpeckers,Tit-like birds | Woodpeckers,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Pernis_apivorus,Sitta_europaea,0.9780755866261159,1,0,Pernis_apivorus__Sitta_europaea,Supported positive,TRUE,FALSE,Diurnal raptors,long-distance,11.9608484505,Tit-like birds,sedentary,12.7946675987,Diurnal raptors,Tit-like birds,Diurnal raptors | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Cygnus_olor,Fulica_atra,0.9766528558034756,1,0,Cygnus_olor__Fulica_atra,Supported positive,TRUE,FALSE,Grazing waterfowl,sedentary and short-distance,12.1899516659,Rails,sedentary and short-distance,12.9624637063,Grazing waterfowl,Rails,Grazing waterfowl | Rails,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Aegithalos_caudatus,Poecile_palustris,0.9764675027129023,1,0,Aegithalos_caudatus__Poecile_palustris,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,12.6607518772,Tit-like birds,sedentary,12.3251392514,Tit-like birds,Tit-like birds,Tit-like birds,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Buteo_buteo,Poecile_palustris,0.972510694331077,1,0,Buteo_buteo__Poecile_palustris,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,12.6973693303,Tit-like birds,sedentary,12.3251392514,Diurnal raptors,Tit-like birds,Diurnal raptors | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Larus_argentatus,Larus_canus,0.9724754420503934,1,0,Larus_argentatus__Larus_canus,Supported positive,TRUE,FALSE,Gulls,sedentary and short-distance,9.0583381929,Gulls,sedentary and short-distance,8.5740563147,Gulls,Gulls,Gulls,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Chloris_chloris,Sylvia_borin,0.9724750946828525,1,0,Chloris_chloris__Sylvia_borin,Supported positive,TRUE,FALSE,Passerine seedeaters,sedentary and short-distance,12.6006224966,Foliage gleaners,long-distance,11.3163422901,Foliage gleaners,Passerine seedeaters,Foliage gleaners | Passerine seedeaters,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Recurvirostra_avosetta,Sterna_paradisaea,0.971317001988553,1,0,Recurvirostra_avosetta__Sterna_paradisaea,Supported positive,TRUE,FALSE,Plovers,short-and long-distance,14.5831200661,Terns,long-distance,6.7214988279,Plovers,Terns,Plovers | Terns,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Coccothraustes_coccothraustes,Pyrrhula_pyrrhula,0.971171081641895,1,0,Coccothraustes_coccothraustes__Pyrrhula_pyrrhula,Supported positive,TRUE,FALSE,Passerine seedeaters,sedentary,12.9763477132,Passerine seedeaters,short-distance,10.756294956,Passerine seedeaters,Passerine seedeaters,Passerine seedeaters,Within guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Aegithalos_caudatus,Pyrrhula_pyrrhula,0.9710576569438144,1,0,Aegithalos_caudatus__Pyrrhula_pyrrhula,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,12.6607518772,Passerine seedeaters,short-distance,10.756294956,Passerine seedeaters,Tit-like birds,Passerine seedeaters | Tit-like birds,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Mergus_merganser,Acanthis_flammea,-0.8022568488154678,0,1,Mergus_merganser__Acanthis_flammea,Supported negative,FALSE,TRUE,Aquatic pursuers,short-distance,7.9118621485,Passerine seedeaters,short-distance,8.1923087262,Aquatic pursuers,Passerine seedeaters,Aquatic pursuers | Passerine seedeaters,Between guild
2026-03-13_06-58-56_Atlas1_MinOccs5_CoverageGoodAverage,1,1970s,Somateria_mollissima,Motacilla_cinerea,-0.7001800433881891,0,1,Somateria_mollissima__Motacilla_cinerea,Supported negative,FALSE,TRUE,Diving ducks,short-distance,8.1688294838,Open-land insectivores,sedentary and short-distance,12.9122079488,Diving ducks,Open-land insectivores,Diving ducks | Open-land insectivores,Between guild
