species,comparison,n_common_sites,occupied_cells_1970s,occupied_cells_1990s,gained_cells,lost_cells,retained_cells,absent_in_both_cells,changed_cells,turnover_fraction_of_common_sites,net_cell_change,absolute_net_cell_change,occupancy_fraction_1970s,occupancy_fraction_1990s,sorensen_dissimilarity,direction,foraging_guild,migration_strategy,species_thermal_index,species_label
Falco_tinnunculus,1970s to 1990s,1726,684,1086,606,204,480,436,810,0.46929316338354576,402,402,0.3962920046349942,0.6292004634994206,0.4576271186440678,More occupied cells in 1990s,Diurnal raptors,sedentary and short-distance,12.4263636442,Falco tinnunculus
Accipiter_nisus,1970s to 1990s,1726,585,1037,618,166,419,523,784,0.4542294322132097,452,452,0.3389339513325608,0.600811123986095,0.4833538840937115,More occupied cells in 1990s,Diurnal raptors,sedentary and short-distance,11.9162821341,Accipiter nisus
Carduelis_carduelis,1970s to 1990s,1726,852,1123,524,253,599,350,777,0.4501738122827346,271,271,0.4936268829663963,0.6506373117033604,0.39341772151898735,More occupied cells in 1990s,Passerine seedeaters,sedentary and short-distance,13.4542440183,Carduelis carduelis
Muscicapa_striata,1970s to 1990s,1726,640,938,533,235,405,553,768,0.44495944380069524,298,298,0.3707995365005794,0.5434530706836617,0.48669201520912553,More occupied cells in 1990s,Flycatchers,long-distance,12.1492223917,Muscicapa striata
Acrocephalus_schoenobaenus,1970s to 1990s,1726,1007,430,90,667,340,629,757,0.43858632676709153,-577,577,0.5834298957126304,0.24913093858632676,0.5267919276270008,Fewer occupied cells in 1990s,Marsh warblers,long-distance,11.3913898283,Acrocephalus schoenobaenus
Garrulus_glandarius,1970s to 1990s,1726,896,1198,501,199,697,329,700,0.4055619930475087,302,302,0.5191193511008111,0.694090382387022,0.3342884431709646,More occupied cells in 1990s,Omnivorous corvids,sedentary,12.466780849,Garrulus glandarius
Acanthis_flammea,1970s to 1990s,1726,122,745,658,35,87,946,693,0.4015063731170336,623,623,0.07068366164542295,0.4316338354577057,0.7993079584775087,More occupied cells in 1990s,Passerine seedeaters,short-distance,8.1923087262,Acanthis flammea
Phoenicurus_phoenicurus,1970s to 1990s,1726,835,1050,454,239,596,437,693,0.4015063731170336,215,215,0.48377752027809967,0.608342989571263,0.3676392572944297,More occupied cells in 1990s,Low flycatching feeders,long-distance,11.3098485667,Phoenicurus phoenicurus
Tadorna_tadorna,1970s to 1990s,1726,777,1002,456,231,546,493,687,0.3980301274623407,225,225,0.4501738122827346,0.5805330243337196,0.38617200674536256,More occupied cells in 1990s,Dabbling ducks,short-distance,12.0434493446,Tadorna tadorna
Buteo_buteo,1970s to 1990s,1726,820,1362,613,71,749,293,684,0.3962920046349942,542,542,0.47508690614136734,0.7891077636152954,0.3134738771769019,More occupied cells in 1990s,Diurnal raptors,sedentary and short-distance,12.6973693303,Buteo buteo
