site,pct_lnd,species,observed_1970s,observed_1990s,turnover_state,rank,species_label,foraging_guild,changed_cells,gained_cells,lost_cells,direction,facet_label
AD90,37.863280653575615,Falco_tinnunculus,0,0,Absent in both,1,Falco tinnunculus,Diurnal raptors,810,606,204,More occupied cells in 1990s,"01. Falco tinnunculus
Diurnal raptors; 810 changed"
AD90,37.863280653575615,Accipiter_nisus,0,0,Absent in both,2,Accipiter nisus,Diurnal raptors,784,618,166,More occupied cells in 1990s,"02. Accipiter nisus
Diurnal raptors; 784 changed"
AD90,37.863280653575615,Carduelis_carduelis,0,0,Absent in both,3,Carduelis carduelis,Passerine seedeaters,777,524,253,More occupied cells in 1990s,"03. Carduelis carduelis
Passerine seedeaters; 777 changed"
AD90,37.863280653575615,Muscicapa_striata,0,0,Absent in both,4,Muscicapa striata,Flycatchers,768,533,235,More occupied cells in 1990s,"04. Muscicapa striata
Flycatchers; 768 changed"
AD90,37.863280653575615,Acrocephalus_schoenobaenus,1,1,Retained,5,Acrocephalus schoenobaenus,Marsh warblers,757,90,667,Fewer occupied cells in 1990s,"05. Acrocephalus schoenobaenus
Marsh warblers; 757 changed"
AD90,37.863280653575615,Garrulus_glandarius,0,0,Absent in both,6,Garrulus glandarius,Omnivorous corvids,700,501,199,More occupied cells in 1990s,"06. Garrulus glandarius
Omnivorous corvids; 700 changed"
AD90,37.863280653575615,Acanthis_flammea,0,0,Absent in both,7,Acanthis flammea,Passerine seedeaters,693,658,35,More occupied cells in 1990s,"07. Acanthis flammea
Passerine seedeaters; 693 changed"
AD90,37.863280653575615,Phoenicurus_phoenicurus,0,0,Absent in both,8,Phoenicurus phoenicurus,Low flycatching feeders,693,454,239,More occupied cells in 1990s,"08. Phoenicurus phoenicurus
Low flycatching feeders; 693 changed"
AD90,37.863280653575615,Tadorna_tadorna,1,1,Retained,9,Tadorna tadorna,Dabbling ducks,687,456,231,More occupied cells in 1990s,"09. Tadorna tadorna
Dabbling ducks; 687 changed"
AD90,37.863280653575615,Buteo_buteo,0,0,Absent in both,10,Buteo buteo,Diurnal raptors,684,613,71,More occupied cells in 1990s,"10. Buteo buteo
Diurnal raptors; 684 changed"
AD90,37.863280653575615,Streptopelia_decaocto,0,0,Absent in both,11,Streptopelia decaocto,Columbids,679,501,178,More occupied cells in 1990s,"11. Streptopelia decaocto
Columbids; 679 changed"
AD90,37.863280653575615,Turdus_viscivorus,0,0,Absent in both,12,Turdus viscivorus,Thrushes,676,570,106,More occupied cells in 1990s,"12. Turdus viscivorus
Thrushes; 676 changed"
AD90,37.863280653575615,Pyrrhula_pyrrhula,0,0,Absent in both,13,Pyrrhula pyrrhula,Passerine seedeaters,674,487,187,More occupied cells in 1990s,"13. Pyrrhula pyrrhula
Passerine seedeaters; 674 changed"
AD90,37.863280653575615,Coloeus_monedula,0,0,Absent in both,14,Coloeus monedula,Omnivorous corvids,670,397,273,More occupied cells in 1990s,"14. Coloeus monedula
Omnivorous corvids; 670 changed"
AD90,37.863280653575615,Anthus_pratensis,1,1,Retained,15,Anthus pratensis,Open-land insectivores,658,302,356,Fewer occupied cells in 1990s,"15. Anthus pratensis
Open-land insectivores; 658 changed"
AD90,37.863280653575615,Acrocephalus_palustris,1,0,Lost,16,Acrocephalus palustris,Marsh warblers,654,492,162,More occupied cells in 1990s,"16. Acrocephalus palustris
Marsh warblers; 654 changed"
AD90,37.863280653575615,Riparia_riparia,0,0,Absent in both,17,Riparia riparia,Aerial insectivores,652,203,449,Fewer occupied cells in 1990s,"17. Riparia riparia
Aerial insectivores; 652 changed"
AD90,37.863280653575615,Perdix_perdix,0,0,Absent in both,18,Perdix perdix,Gallinaceous birds,641,374,267,More occupied cells in 1990s,"18. Perdix perdix
Gallinaceous birds; 641 changed"
AD90,37.863280653575615,Saxicola_rubetra,1,0,Lost,19,Saxicola rubetra,Low flycatching feeders,636,255,381,Fewer occupied cells in 1990s,"19. Saxicola rubetra
Low flycatching feeders; 636 changed"
AD90,37.863280653575615,Gallinago_gallinago,1,0,Lost,20,Gallinago gallinago,Scolopacids,625,197,428,Fewer occupied cells in 1990s,"20. Gallinago gallinago
Scolopacids; 625 changed"
AD92,83.53166808497627,Falco_tinnunculus,0,0,Absent in both,1,Falco tinnunculus,Diurnal raptors,810,606,204,More occupied cells in 1990s,"01. Falco tinnunculus
Diurnal raptors; 810 changed"
AD92,83.53166808497627,Accipiter_nisus,0,0,Absent in both,2,Accipiter nisus,Diurnal raptors,784,618,166,More occupied cells in 1990s,"02. Accipiter nisus
Diurnal raptors; 784 changed"
AD92,83.53166808497627,Carduelis_carduelis,1,0,Lost,3,Carduelis carduelis,Passerine seedeaters,777,524,253,More occupied cells in 1990s,"03. Carduelis carduelis
Passerine seedeaters; 777 changed"
AD92,83.53166808497627,Muscicapa_striata,0,0,Absent in both,4,Muscicapa striata,Flycatchers,768,533,235,More occupied cells in 1990s,"04. Muscicapa striata
Flycatchers; 768 changed"
AD92,83.53166808497627,Acrocephalus_schoenobaenus,1,0,Lost,5,Acrocephalus schoenobaenus,Marsh warblers,757,90,667,Fewer occupied cells in 1990s,"05. Acrocephalus schoenobaenus
Marsh warblers; 757 changed"
AD92,83.53166808497627,Garrulus_glandarius,0,0,Absent in both,6,Garrulus glandarius,Omnivorous corvids,700,501,199,More occupied cells in 1990s,"06. Garrulus glandarius
Omnivorous corvids; 700 changed"
AD92,83.53166808497627,Acanthis_flammea,0,0,Absent in both,7,Acanthis flammea,Passerine seedeaters,693,658,35,More occupied cells in 1990s,"07. Acanthis flammea
Passerine seedeaters; 693 changed"
AD92,83.53166808497627,Phoenicurus_phoenicurus,0,0,Absent in both,8,Phoenicurus phoenicurus,Low flycatching feeders,693,454,239,More occupied cells in 1990s,"08. Phoenicurus phoenicurus
Low flycatching feeders; 693 changed"
AD92,83.53166808497627,Tadorna_tadorna,0,0,Absent in both,9,Tadorna tadorna,Dabbling ducks,687,456,231,More occupied cells in 1990s,"09. Tadorna tadorna
Dabbling ducks; 687 changed"
AD92,83.53166808497627,Buteo_buteo,0,0,Absent in both,10,Buteo buteo,Diurnal raptors,684,613,71,More occupied cells in 1990s,"10. Buteo buteo
Diurnal raptors; 684 changed"
AD92,83.53166808497627,Streptopelia_decaocto,1,1,Retained,11,Streptopelia decaocto,Columbids,679,501,178,More occupied cells in 1990s,"11. Streptopelia decaocto
Columbids; 679 changed"
AD92,83.53166808497627,Turdus_viscivorus,0,0,Absent in both,12,Turdus viscivorus,Thrushes,676,570,106,More occupied cells in 1990s,"12. Turdus viscivorus
Thrushes; 676 changed"
AD92,83.53166808497627,Pyrrhula_pyrrhula,0,0,Absent in both,13,Pyrrhula pyrrhula,Passerine seedeaters,674,487,187,More occupied cells in 1990s,"13. Pyrrhula pyrrhula
Passerine seedeaters; 674 changed"
AD92,83.53166808497627,Coloeus_monedula,0,1,Gained,14,Coloeus monedula,Omnivorous corvids,670,397,273,More occupied cells in 1990s,"14. Coloeus monedula
Omnivorous corvids; 670 changed"
AD92,83.53166808497627,Anthus_pratensis,1,1,Retained,15,Anthus pratensis,Open-land insectivores,658,302,356,Fewer occupied cells in 1990s,"15. Anthus pratensis
Open-land insectivores; 658 changed"
AD92,83.53166808497627,Acrocephalus_palustris,0,0,Absent in both,16,Acrocephalus palustris,Marsh warblers,654,492,162,More occupied cells in 1990s,"16. Acrocephalus palustris
Marsh warblers; 654 changed"
AD92,83.53166808497627,Riparia_riparia,1,0,Lost,17,Riparia riparia,Aerial insectivores,652,203,449,Fewer occupied cells in 1990s,"17. Riparia riparia
Aerial insectivores; 652 changed"
AD92,83.53166808497627,Perdix_perdix,0,1,Gained,18,Perdix perdix,Gallinaceous birds,641,374,267,More occupied cells in 1990s,"18. Perdix perdix
Gallinaceous birds; 641 changed"
AD92,83.53166808497627,Saxicola_rubetra,1,0,Lost,19,Saxicola rubetra,Low flycatching feeders,636,255,381,Fewer occupied cells in 1990s,"19. Saxicola rubetra
Low flycatching feeders; 636 changed"
AD92,83.53166808497627,Gallinago_gallinago,0,0,Absent in both,20,Gallinago gallinago,Scolopacids,625,197,428,Fewer occupied cells in 1990s,"20. Gallinago gallinago
Scolopacids; 625 changed"
AD93,79.28635024188326,Falco_tinnunculus,0,1,Gained,1,Falco tinnunculus,Diurnal raptors,810,606,204,More occupied cells in 1990s,"01. Falco tinnunculus
Diurnal raptors; 810 changed"
AD93,79.28635024188326,Accipiter_nisus,0,0,Absent in both,2,Accipiter nisus,Diurnal raptors,784,618,166,More occupied cells in 1990s,"02. Accipiter nisus
Diurnal raptors; 784 changed"
AD93,79.28635024188326,Carduelis_carduelis,0,1,Gained,3,Carduelis carduelis,Passerine seedeaters,777,524,253,More occupied cells in 1990s,"03. Carduelis carduelis
Passerine seedeaters; 777 changed"
AD93,79.28635024188326,Muscicapa_striata,0,0,Absent in both,4,Muscicapa striata,Flycatchers,768,533,235,More occupied cells in 1990s,"04. Muscicapa striata
Flycatchers; 768 changed"
AD93,79.28635024188326,Acrocephalus_schoenobaenus,1,1,Retained,5,Acrocephalus schoenobaenus,Marsh warblers,757,90,667,Fewer occupied cells in 1990s,"05. Acrocephalus schoenobaenus
Marsh warblers; 757 changed"
AD93,79.28635024188326,Garrulus_glandarius,0,0,Absent in both,6,Garrulus glandarius,Omnivorous corvids,700,501,199,More occupied cells in 1990s,"06. Garrulus glandarius
Omnivorous corvids; 700 changed"
AD93,79.28635024188326,Acanthis_flammea,0,1,Gained,7,Acanthis flammea,Passerine seedeaters,693,658,35,More occupied cells in 1990s,"07. Acanthis flammea
Passerine seedeaters; 693 changed"
AD93,79.28635024188326,Phoenicurus_phoenicurus,0,0,Absent in both,8,Phoenicurus phoenicurus,Low flycatching feeders,693,454,239,More occupied cells in 1990s,"08. Phoenicurus phoenicurus
Low flycatching feeders; 693 changed"
AD93,79.28635024188326,Tadorna_tadorna,1,1,Retained,9,Tadorna tadorna,Dabbling ducks,687,456,231,More occupied cells in 1990s,"09. Tadorna tadorna
Dabbling ducks; 687 changed"
AD93,79.28635024188326,Buteo_buteo,0,0,Absent in both,10,Buteo buteo,Diurnal raptors,684,613,71,More occupied cells in 1990s,"10. Buteo buteo
Diurnal raptors; 684 changed"
AD93,79.28635024188326,Streptopelia_decaocto,1,1,Retained,11,Streptopelia decaocto,Columbids,679,501,178,More occupied cells in 1990s,"11. Streptopelia decaocto
Columbids; 679 changed"
AD93,79.28635024188326,Turdus_viscivorus,0,1,Gained,12,Turdus viscivorus,Thrushes,676,570,106,More occupied cells in 1990s,"12. Turdus viscivorus
Thrushes; 676 changed"
AD93,79.28635024188326,Pyrrhula_pyrrhula,0,0,Absent in both,13,Pyrrhula pyrrhula,Passerine seedeaters,674,487,187,More occupied cells in 1990s,"13. Pyrrhula pyrrhula
Passerine seedeaters; 674 changed"
AD93,79.28635024188326,Coloeus_monedula,1,1,Retained,14,Coloeus monedula,Omnivorous corvids,670,397,273,More occupied cells in 1990s,"14. Coloeus monedula
Omnivorous corvids; 670 changed"
AD93,79.28635024188326,Anthus_pratensis,1,1,Retained,15,Anthus pratensis,Open-land insectivores,658,302,356,Fewer occupied cells in 1990s,"15. Anthus pratensis
Open-land insectivores; 658 changed"
AD93,79.28635024188326,Acrocephalus_palustris,0,0,Absent in both,16,Acrocephalus palustris,Marsh warblers,654,492,162,More occupied cells in 1990s,"16. Acrocephalus palustris
Marsh warblers; 654 changed"
AD93,79.28635024188326,Riparia_riparia,0,0,Absent in both,17,Riparia riparia,Aerial insectivores,652,203,449,Fewer occupied cells in 1990s,"17. Riparia riparia
Aerial insectivores; 652 changed"
AD93,79.28635024188326,Perdix_perdix,0,1,Gained,18,Perdix perdix,Gallinaceous birds,641,374,267,More occupied cells in 1990s,"18. Perdix perdix
Gallinaceous birds; 641 changed"
AD93,79.28635024188326,Saxicola_rubetra,1,0,Lost,19,Saxicola rubetra,Low flycatching feeders,636,255,381,Fewer occupied cells in 1990s,"19. Saxicola rubetra
Low flycatching feeders; 636 changed"
AD93,79.28635024188326,Gallinago_gallinago,1,1,Retained,20,Gallinago gallinago,Scolopacids,625,197,428,Fewer occupied cells in 1990s,"20. Gallinago gallinago
Scolopacids; 625 changed"
AD94,56.342331801915435,Falco_tinnunculus,0,0,Absent in both,1,Falco tinnunculus,Diurnal raptors,810,606,204,More occupied cells in 1990s,"01. Falco tinnunculus
Diurnal raptors; 810 changed"
AD94,56.342331801915435,Accipiter_nisus,0,0,Absent in both,2,Accipiter nisus,Diurnal raptors,784,618,166,More occupied cells in 1990s,"02. Accipiter nisus
Diurnal raptors; 784 changed"
AD94,56.342331801915435,Carduelis_carduelis,0,0,Absent in both,3,Carduelis carduelis,Passerine seedeaters,777,524,253,More occupied cells in 1990s,"03. Carduelis carduelis
Passerine seedeaters; 777 changed"
AD94,56.342331801915435,Muscicapa_striata,1,0,Lost,4,Muscicapa striata,Flycatchers,768,533,235,More occupied cells in 1990s,"04. Muscicapa striata
Flycatchers; 768 changed"
AD94,56.342331801915435,Acrocephalus_schoenobaenus,0,1,Gained,5,Acrocephalus schoenobaenus,Marsh warblers,757,90,667,Fewer occupied cells in 1990s,"05. Acrocephalus schoenobaenus
Marsh warblers; 757 changed"
