trait_family,trait_value,base_site,survey_start,site_start,X_start,Y_start,value_start,survey_end,site_end,X,Y,value_end,delta,direction,delta_sd,standardized_change,abs_standardized_change,winner_label,signed_winner_change
Foraging guild,Scolopacids,AD90,AD90_1,AD90,447500.0709493527,6252499.57832838,0.10835334907453954,AD90_3,AD90,447500.0709493527,6252499.57832838,0.04743600103678455,-0.06091734803775499,Decrease,0.011717888545512397,-5.198662523640791,5.198662523640791,Foraging guild: Scolopacids,-5.198662523640791
Foraging guild,Scolopacids,AD91,AD91_1,AD91,447500.05017916387,6257499.546271402,0.07227992005123329,AD91_3,AD91,447500.05017916387,6257499.546271402,0.02049743952261069,-0.0517824805286226,Decrease,0.011717888545512397,-4.4190965230211,4.4190965230211,Foraging guild: Scolopacids,-4.4190965230211
Thermal,Thermal group: cold,AD92,AD92_1,AD92,447500.02377636905,6262499.551973275,0.29702189740591783,AD92_3,AD92,447500.02377636905,6262499.551973275,0.23790766354751314,-0.0591142338584047,Decrease,0.018306465811002055,-3.229145071949249,3.229145071949249,Thermal: Thermal group: cold,-3.229145071949249
Migration,short-and long-distance,AD93,AD93_1,AD93,447499.9924736935,6267499.595406948,0.011557808928859893,AD93_3,AD93,447499.9924736935,6267499.595406948,0.029032960407083155,0.01747515147822326,Increase,0.005534462869832597,3.1575153522986485,3.1575153522986485,Migration: short-and long-distance,3.1575153522986485
Foraging guild,Scolopacids,AD94,AD94_1,AD94,447499.9570043505,6272499.676545255,0.07769260650216409,AD94_3,AD94,447499.9570043505,6272499.676545255,0.03314060617091782,-0.04455200033124627,Decrease,0.011717888545512397,-3.8020501866190184,3.8020501866190184,Foraging guild: Scolopacids,-3.8020501866190184
Foraging guild,Terns,AD95,AD95_1,AD95,447499.9167107371,6277499.684056323,0.0465179498083838,AD95_3,AD95,447499.9167107371,6277499.684056323,0.01595414375779231,-0.03056380605059149,Decrease,0.0061841138867764186,-4.942309700335003,4.942309700335003,Foraging guild: Terns,-4.942309700335003
Foraging guild,Open-land insectivores,AE93,AE93_1,AE93,447500.1701742312,6217499.746982312,0.093574351397328,AE93_3,AE93,447500.1701742312,6217499.746982312,0.05793659250255925,-0.03563775889476875,Decrease,0.0073465438531933455,-4.85095571562919,4.85095571562919,Foraging guild: Open-land insectivores,-4.85095571562919
Foraging guild,Scolopacids,AE94,AE94_1,AE94,447500.1510277113,6222499.78450804,0.06173016260801928,AE94_3,AE94,447500.1510277113,6222499.78450804,0.029329194821515994,-0.03240096778650328,Decrease,0.011717888545512397,-2.7650858480738743,2.7650858480738743,Foraging guild: Scolopacids,-2.7650858480738743
Foraging guild,Scolopacids,AE95,AE95_1,AE95,447500.18198725476,6227499.747924402,0.09103892281702186,AE95_3,AE95,447500.18198725476,6227499.747924402,0.03308470201169937,-0.05795422080532249,Decrease,0.011717888545512397,-4.945790410979565,4.945790410979565,Foraging guild: Scolopacids,-4.945790410979565
Foraging guild,Scolopacids,AE96,AE96_1,AE96,447500.139576756,6232499.638727918,0.11399584455833266,AE96_3,AE96,447500.139576756,6232499.638727918,0.03280891723882413,-0.08118692731950852,Decrease,0.011717888545512397,-6.92846044781683,6.92846044781683,Foraging guild: Scolopacids,-6.92846044781683
Foraging guild,Woodpeckers,AE97,AE97_1,AE97,447500.1513174165,6237499.67796077,0.005969462270642189,AE97_3,AE97,447500.1513174165,6237499.67796077,0.03237391556209233,0.026404453291450136,Increase,0.006230782012952926,4.237743069258235,4.237743069258235,Foraging guild: Woodpeckers,4.237743069258235
Foraging guild,Terns,AE98,AE98_1,AE98,447500.15313399426,6242499.6437634,0.0398281275708494,AE98_3,AE98,447500.15313399426,6242499.6437634,0.019496422211405347,-0.020331705359444053,Decrease,0.0061841138867764186,-3.2877313923535008,3.2877313923535008,Foraging guild: Terns,-3.2877313923535008
Foraging guild,Plovers,AF81,AF81_1,AF81,442500.1384771916,6157499.787446427,0.06217519631758644,AF81_3,AF81,442500.1384771916,6157499.787446427,0.03941706256225681,-0.022758133755329625,Decrease,0.011480832277377154,-1.982272121523303,1.982272121523303,Foraging guild: Plovers,-1.982272121523303
Thermal,Thermal group: cold,AF82,AF82_1,AF82,442500.15165183047,6162499.8084204225,0.26980736372647257,AF82_3,AF82,442500.15165183047,6162499.8084204225,0.20722157729698967,-0.0625857864294829,Decrease,0.018306465811002055,-3.418780395715119,3.418780395715119,Thermal: Thermal group: cold,-3.418780395715119
Foraging guild,Scolopacids,AF91,AF91_1,AF91,447500.16279772675,6157499.807246089,0.06651418333467721,AF91_3,AF91,447500.16279772675,6157499.807246089,0.03231045963133168,-0.034203723703345526,Decrease,0.011717888545512397,-2.91893232901968,2.91893232901968,Foraging guild: Scolopacids,-2.91893232901968
Foraging guild,Owls,AF92,AF92_1,AF92,447500.2057250942,6162499.834014087,0.022264453800893924,AF92_3,AF92,447500.2057250942,6162499.834014087,0.006703631192435971,-0.015560822608457953,Decrease,0.005596576930679483,-2.78041788779069,2.78041788779069,Foraging guild: Owls,-2.78041788779069
Foraging guild,Owls,AF93,AF93_1,AF93,447500.1653840631,6167499.788514787,0.023593382568731495,AF93_3,AF93,447500.1653840631,6167499.788514787,0.009974859522427696,-0.0136185230463038,Decrease,0.005596576930679483,-2.4333665408313023,2.4333665408313023,Foraging guild: Owls,-2.4333665408313023
Thermal,Thermal group: very warm,AF94,AF94_1,AF94,447500.1697669054,6172499.780493908,0.09589368823749457,AF94_3,AF94,447500.1697669054,6172499.780493908,0.12606151904257848,0.03016783080508391,Increase,0.012229177474484862,2.466873251944092,2.466873251944092,Thermal: Thermal group: very warm,2.466873251944092
Foraging guild,Rails,AF96,AF96_1,AF96,447500.12389998813,6182499.65648123,0.03870798598296515,AF96_3,AF96,447500.12389998813,6182499.65648123,0.013891480457095741,-0.024816505525869406,Decrease,0.009207482708653023,-2.6952541005097204,2.6952541005097204,Foraging guild: Rails,-2.6952541005097204
Foraging guild,Open-land insectivores,AF97,AF97_1,AF97,447500.13908220717,6187499.650967309,0.08262245245363678,AF97_3,AF97,447500.13908220717,6187499.650967309,0.05853816484475019,-0.02408428760888659,Decrease,0.0073465438531933455,-3.2783153670848635,3.2783153670848635,Foraging guild: Open-land insectivores,-3.2783153670848635
