atlas,period,response,survey,site,base_site,X,Y,value
1,1970s,richness,AD90_1,AD90,AD90,447500.0709493527,6252499.57832838,46.93829583095509
1,1970s,richness,BD19_1,BD19,BD19,457500.063487968,6297499.744964002,67.13935349383976
1,1970s,richness,DC09_1,DC09,DC09,552499.6781305044,6347499.774804628,45.92459301434293
1,1970s,richness,DB11_1,DB11,DB11,557499.6898730142,6357499.755865983,54.656701856830665
1,1970s,richness,DB13_1,DB13,DB13,557499.6790873646,6367499.744899912,32.74862806357594
1,1970s,richness,DB14_1,DB14,DB14,557499.6920318474,6372499.795985679,39.23917848910627
1,1970s,richness,DB15_1,DB15,DB15,557499.6776623846,6377499.772861233,41.259546120503465
1,1970s,richness,DB16_1,DB16,DB16,557499.6934591797,6382499.787658613,51.15437309682872
1,1970s,richness,BD20_1,BD20,BD20,462500.0521724849,6252499.692892568,40.72555951625907
1,1970s,richness,DB20_1,DB20,DB20,562499.6596629414,6352499.822055593,35.05620815490471
1,1970s,richness,DB21_1,DB21,DB21,562499.6778171846,6357499.774650563,31.20532094812379
1,1970s,richness,DB22_1,DB22,DB22,562499.6515363256,6362499.764446196,32.66983547465052
1,1970s,richness,DB23_1,DB23,DB23,562499.6400820935,6367499.792328508,34.79154281440887
1,1970s,richness,DB24_1,DB24,DB24,562499.6441820732,6372499.746949654,51.382965807696465
1,1970s,richness,DB25_1,DB25,DB25,562499.6611575983,6377499.739594084,49.59620021432729
1,1970s,richness,DB26_1,DB26,DB26,562499.6900292314,6382499.770230629,47.38891450278554
1,1970s,richness,DB31_1,DB31,DB31,567499.6497347835,6357499.773935058,33.18389681031626
1,1970s,richness,DB32_1,DB32,DB32,567499.649767541,6362499.788996397,43.21675566129915
1,1970s,richness,BD21_1,BD21,BD21,462500.04652625887,6257499.613366459,52.861741200880175
1,1970s,richness,DB33_1,DB33,DB33,567499.6483663965,6367499.730884405,50.718519945043454
1,1970s,richness,DB34_1,DB34,DB34,567499.6427126657,6372499.710880268,62.12456772257633
1,1970s,richness,DB35_1,DB35,DB35,567499.6318198992,6377499.728951592,47.993131454831584
1,1970s,richness,DB36_1,DB36,DB36,567499.676348217,6382499.674741831,38.280536068861316
1,1970s,richness,DB40_1,DB40,DB40,572499.6344654928,6352499.8530826,62.48396292954345
1,1970s,richness,DB41_1,DB41,DB41,572499.6216895938,6357499.864695008,36.04704420547338
1,1970s,richness,DB42_1,DB42,DB42,572499.5906535387,6362499.80320541,48.552983875879015
1,1970s,richness,DB43_1,DB43,DB43,572499.5984189146,6367499.780956781,49.48587246032354
1,1970s,richness,DB44_1,DB44,DB44,572499.5838254265,6372499.796851205,57.60038903008669
1,1970s,richness,DB45_1,DB45,DB45,572499.6077339851,6377499.740606079,45.510478129134604
1,1970s,richness,BD22_1,BD22,BD22,462500.04672205047,6262499.682150681,41.39131854818906
1,1970s,richness,DB46_1,DB46,DB46,572499.6071544627,6382499.722435604,22.990290602328113
1,1970s,richness,DB52_1,DB52,DB52,577499.5523310879,6362499.807698655,37.66672293292675
1,1970s,richness,DB53_1,DB53,DB53,577499.5700187528,6367499.831857608,42.336857045374906
1,1970s,richness,DB54_1,DB54,DB54,577499.5493575014,6372499.782863706,53.063753390485736
1,1970s,richness,DB55_1,DB55,DB55,577499.5492296974,6377499.66181914,57.377371900971006
1,1970s,richness,DB56_1,DB56,DB56,577499.5641771164,6382499.691316109,52.19925836920393
1,1970s,richness,DB57_1,DB57,DB57,577499.537492288,6387499.64755162,45.7529564803785
1,1970s,richness,DB60_1,DB60,DB60,582499.5631405126,6352499.870773819,47.153169686454746
1,1970s,richness,DB62_1,DB62,DB62,582499.4927491389,6362499.801014301,45.063425247139634
1,1970s,richness,DB63_1,DB63,DB63,582499.5234498292,6367499.770816479,44.61579727425354
1,1970s,richness,DB64_1,DB64,DB64,582499.4955886239,6372499.778775646,52.172227378828396
1,1970s,richness,DB65_1,DB65,DB65,582499.4702860015,6377499.714756137,45.34042922598356
1,1970s,richness,DB66_1,DB66,DB66,582499.5038627629,6382499.691246823,43.33060016125647
1,1970s,richness,DB67_1,DB67,DB67,582499.4776775325,6387499.594470724,51.0389300817301
1,1970s,richness,DB68_1,DB68,DB68,582499.4481154357,6392499.536917151,27.450946779027472
1,1970s,richness,DB70_1,DB70,DB70,587499.5384229121,6352499.942973814,40.848767499048314
1,1970s,richness,DB71_1,DB71,DB71,587499.4899705768,6357499.898755164,32.43931361154029
1,1970s,richness,DB72_1,DB72,DB72,587499.4900431393,6362499.784009084,55.908576498618366
1,1970s,richness,DB73_1,DB73,DB73,587499.4724052523,6367499.8200299665,47.146843135990586
1,1970s,richness,DB74_1,DB74,DB74,587499.4405852477,6372499.784163884,48.34054245943441
1,1970s,richness,DB75_1,DB75,DB75,587499.4508390957,6377499.788968703,45.459526058581986
1,1970s,richness,DB77_1,DB77,DB77,587499.4197526195,6387499.582648063,42.07148466369424
1,1970s,richness,DB78_1,DB78,DB78,587499.3735523641,6392499.482754864,50.29357801254047
1,1970s,richness,DB79_1,DB79,DB79,587499.3020525747,6397499.533405255,35.950141363291046
1,1970s,richness,DB80_1,DB80,DB80,592499.4685152426,6352499.8696485795,30.992502559481725
1,1970s,richness,BD26_1,BD26,BD26,462500.0396707308,6282499.770858137,64.70604748676764
1,1970s,richness,DB81_1,DB81,DB81,592499.4687914647,6357499.903263027,38.83413304094953
1,1970s,richness,DB82_1,DB82,DB82,592499.4395459738,6362499.8651057985,54.88539072098092
1,1970s,richness,DB83_1,DB83,DB83,592499.43704912,6367499.867802329,61.86701455776281
1,1970s,richness,DB89_1,DB89,DB89,592499.276854376,6397499.389086184,57.10430692957908
1,1970s,richness,DC00_1,DC00,DC00,552499.7981343176,6302499.822003722,72.31382447266202
1,1970s,richness,DC01_1,DC01,DC01,552499.82723216,6307499.828336293,52.76880833299337
1,1970s,richness,DC02_1,DC02,DC02,552499.7944827778,6312499.871378481,52.38652211166681
1,1970s,richness,BD27_1,BD27,BD27,462500.0084153306,6287499.80222181,54.827876675882955
