trait_family,trait_value,base_site,survey_start,site_start,X_start,Y_start,value_start,survey_end,site_end,X,Y,value_end,delta,direction,delta_sd,standardized_change,abs_standardized_change
Thermal,CWM STI,AD90,AD90_1,AD90,447500.0709493527,6252499.57832838,11.485454149413885,AD90_3,AD90,447500.0709493527,6252499.57832838,11.848206154700733,0.3627520052868487,Increase,0.07804363974178909,4.648066216376249,4.648066216376249
Thermal,CWM STI,BD19,BD19_1,BD19,457500.063487968,6297499.744964002,11.836933890544513,BD19_3,BD19,457500.063487968,6297499.744964002,11.937691864303508,0.10075797375899498,Increase,0.07804363974178909,1.2910465746133484,1.2910465746133484
Thermal,CWM STI,DC09,DC09_1,DC09,552499.6781305044,6347499.774804628,12.046399353541164,DC09_3,DC09,552499.6781305044,6347499.774804628,12.104323394224352,0.05792404068318824,Increase,0.07804363974178909,0.742200656899557,0.742200656899557
Thermal,CWM STI,DB11,DB11_1,DB11,557499.6898730142,6357499.755865983,12.09366907901602,DB11_3,DB11,557499.6898730142,6357499.755865983,12.109630277773338,0.015961198757317163,Increase,0.07804363974178909,0.20451632971149875,0.20451632971149875
Thermal,CWM STI,DB13,DB13_1,DB13,557499.6790873646,6367499.744899912,12.234633613541126,DB13_3,DB13,557499.6790873646,6367499.744899912,12.096541040579902,-0.13809257296122368,Decrease,0.07804363974178909,-1.76942763584719,1.76942763584719
Thermal,CWM STI,DB14,DB14_1,DB14,557499.6920318474,6372499.795985679,12.087939474383743,DB14_3,DB14,557499.6920318474,6372499.795985679,12.060146971978636,-0.027792502405107555,Decrease,0.07804363974178909,-0.35611489286071624,0.35611489286071624
Thermal,CWM STI,DB15,DB15_1,DB15,557499.6776623846,6377499.772861233,12.065359831244217,DB15_3,DB15,557499.6776623846,6377499.772861233,12.062233359117574,-0.0031264721266435203,Decrease,0.07804363974178909,-0.040060562743967285,0.040060562743967285
Thermal,CWM STI,DB16,DB16_1,DB16,557499.6934591797,6382499.787658613,11.91799774519727,DB16_3,DB16,557499.6934591797,6382499.787658613,11.96862097383994,0.050623228642669105,Increase,0.07804363974178909,0.648652841027896,0.648652841027896
Thermal,CWM STI,BD20,BD20_1,BD20,462500.0521724849,6252499.692892568,12.056758715232316,BD20_3,BD20,462500.0521724849,6252499.692892568,12.076715464414136,0.019956749181819333,Increase,0.07804363974178909,0.255712691615193,0.255712691615193
Thermal,CWM STI,DB20,DB20_1,DB20,562499.6596629414,6352499.822055593,12.197572367651935,DB20_3,DB20,562499.6596629414,6352499.822055593,12.126699628859027,-0.07087273879290734,Decrease,0.07804363974178909,-0.9081167796298713,0.9081167796298713
Thermal,CWM STI,DB21,DB21_1,DB21,562499.6778171846,6357499.774650563,12.048317318510522,DB21_3,DB21,562499.6778171846,6357499.774650563,12.102764747101979,0.054447428591457125,Increase,0.07804363974178909,0.6976536303483398,0.6976536303483398
Thermal,CWM STI,DB22,DB22_1,DB22,562499.6515363256,6362499.764446196,12.04709057597809,DB22_3,DB22,562499.6515363256,6362499.764446196,12.079227283107,0.03213670712890959,Increase,0.07804363974178909,0.4117786822249109,0.4117786822249109
Thermal,CWM STI,DB23,DB23_1,DB23,562499.6400820935,6367499.792328508,12.23078375375564,DB23_3,DB23,562499.6400820935,6367499.792328508,12.119718234319418,-0.111065519436222,Decrease,0.07804363974178909,-1.4231207027720298,1.4231207027720298
