survey,site,X,Y,coefficient,local_t,abs_local_t,local_r2,response,atlas,period,trait_family,trait_value,direction,supported,dominant_trait_value,dominant_direction
AD90_1,AD90,447500.0709493527,6252499.57832838,-0.03840737698682985,-20.43208828010484,20.43208828010484,0.5760446144983051,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AD91_1,AD91,447500.05017916387,6257499.546271402,-0.038550595167951215,-20.35333198354185,20.35333198354185,0.5782091470136129,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AD92_1,AD92,447500.02377636905,6262499.551973275,-0.03874084357811616,-20.277681976272568,20.277681976272568,0.58049058141938,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AD93_1,AD93,447499.9924736935,6267499.595406948,-0.03899042655892421,-20.202010681229037,20.202010681229037,0.5829783650394348,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AD94_1,AD94,447499.9570043505,6272499.676545255,-0.03930368051575647,-20.128448000791025,20.128448000791025,0.5857159130403409,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AD95_1,AD95,447499.9167107371,6277499.684056323,-0.03968764296274811,-20.058850256091443,20.058850256091443,0.5887352088155102,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AE93_1,AE93,447500.1701742312,6217499.746982312,-0.03824525154390719,-20.559877397488457,20.559877397488457,0.5601368204511837,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AE94_1,AE94,447500.1510277113,6222499.78450804,-0.038224343966739516,-20.670093710634116,20.670093710634116,0.5625669237183638,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AE95_1,AE95,447500.18198725476,6227499.747924402,-0.03822746410413522,-20.735330437455545,20.735330437455545,0.5651692452538358,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AE96_1,AE96,447500.139576756,6232499.638727918,-0.038237723181202735,-20.745277087375612,20.745277087375612,0.5676711508587745,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AE97_1,AE97,447500.1513174165,6237499.67796077,-0.038252571968563284,-20.705710976709575,20.705710976709575,0.5699833363789695,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AE98_1,AE98,447500.15313399426,6242499.6437634,-0.038267196057329644,-20.61910473509913,20.61910473509913,0.5719863145021146,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AF81_1,AF81,442500.1384771916,6157499.787446427,-0.04363945084893964,-19.88853963571478,19.88853963571478,0.6301866543795708,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
AF82_1,AF82,442500.15165183047,6162499.8084204225,-0.04326696574182717,-20.00458803991372,20.00458803991372,0.621886321563582,beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,Negative,TRUE,Low flycatching feeders,Negative
