response,atlas,period,trait_family,trait_value,n_rows,bandwidth_m,aicc,rss,local_r2_mean,local_r2_median,local_t_abs_max,status
beta_turnover,1,1970s,Foraging guild,Aquatic pursuers,1776,100000,-5910.4675910168235,3.6495874132686685,0.18233587244752136,0.15997490673659676,12.579593763393694,ok
beta_turnover,1,1970s,Foraging guild,Dabbling ducks,1776,100000,-6035.863663912001,3.39861858422392,0.2221839179623441,0.23086583700430938,14.141662002540631,ok
beta_turnover,1,1970s,Foraging guild,Diurnal raptors,1776,100000,-5849.7972237048425,3.7763791908883766,0.15448862695989643,0.1435750512002411,9.572497049450966,ok
beta_turnover,1,1970s,Foraging guild,Foliage gleaners,1776,100000,-5886.076201474695,3.69754815285164,0.1692471476329021,0.16165185586793687,11.708735169359464,ok
beta_turnover,1,1970s,Foraging guild,Gulls,1776,100000,-6462.872258007067,2.6716767736295624,0.36537273691503525,0.38808540026778904,19.725065655514275,ok
beta_turnover,1,1970s,Foraging guild,Low flycatching feeders,1776,100000,-6583.481047134104,2.4965348497187994,0.3878412359351244,0.3925619609222939,21.22119979978777,ok
beta_turnover,1,1970s,Foraging guild,Marsh warblers,1776,100000,-5706.791349291178,4.091762065596448,0.10610532914109125,0.09561468511579417,6.712494844839408,ok
beta_turnover,1,1970s,Foraging guild,Omnivorous corvids,1776,100000,-6111.096231503648,3.2572006905823923,0.25242255706938993,0.27768602451598867,14.403679482568984,ok
beta_turnover,1,1970s,Foraging guild,Open-land insectivores,1776,100000,-6370.232270818113,2.8162791382768777,0.32633881966782474,0.3075735775795916,20.885783798677476,ok
beta_turnover,1,1970s,Foraging guild,Owls,1776,100000,-6296.225244581011,2.935632726773783,0.32354550070417165,0.30488779490728535,19.84978443478635,ok
beta_turnover,1,1970s,Foraging guild,Passerine seedeaters,1776,100000,-6074.91331143223,3.3238442271753765,0.22270079466088497,0.22671375275113553,15.154553933571576,ok
beta_turnover,1,1970s,Foraging guild,Plovers,1776,100000,-6465.753281688463,2.668352061223026,0.3687557176735045,0.36611202643131946,20.32034387352363,ok
beta_turnover,1,1970s,Foraging guild,Rails,1776,100000,-5696.843288417131,4.11380840496826,0.09986082395409632,0.08155999031556632,6.24119447498946,ok
beta_turnover,1,1970s,Foraging guild,Scolopacids,1776,100000,-6244.064377480819,3.022211142558287,0.2881968202214632,0.28643371036242016,19.002314126719078,ok
beta_turnover,1,1970s,Foraging guild,Terns,1776,100000,-6481.168049088802,2.644942558051672,0.3810048551762305,0.39395837878857043,19.921793665339177,ok
beta_turnover,1,1970s,Foraging guild,Tit-like birds,1776,100000,-6366.982413503255,2.8207222642579937,0.32315992721098813,0.3497901021623385,20.004644366669236,ok
beta_turnover,1,1970s,Foraging guild,Woodpeckers,1776,100000,-5960.431125865734,3.547684354094006,0.19948096576805197,0.18895316133592183,12.682014624882251,ok
beta_turnover,1,1970s,Migration,long-distance,1776,100000,-5802.497865359159,3.876472311610687,0.13344768688449216,0.11704520023949633,9.824673646413878,ok
beta_turnover,1,1970s,Migration,sedentary,1776,100000,-6159.242081215652,3.170046924913782,0.26413949883862914,0.27988879334750394,16.795110924450313,ok
beta_turnover,1,1970s,Migration,sedentary and short-distance,1776,100000,-5715.301616635061,4.073197758323846,0.10132718031825481,0.08802972838349535,6.400977029638235,ok
beta_turnover,1,1970s,Migration,short-and long-distance,1776,100000,-6440.377562557165,2.706249611199355,0.3723464188930341,0.38767701119572007,19.996422257330842,ok
beta_turnover,1,1970s,Migration,short-distance,1776,100000,-6264.463931721737,2.9882967314516407,0.307315055583741,0.3365434546634927,17.358215068995886,ok
beta_turnover,1,1970s,Thermal,CWM STI,1776,100000,-6261.559141819068,2.9924597443780447,0.3075368175977147,0.32387868500364614,17.592317720624074,ok
beta_turnover,1,1970s,Thermal,Thermal group: cold,1776,100000,-5674.339607996398,4.167761030921962,0.08871004216222914,0.07110135391430653,5.938849765707182,ok
beta_turnover,1,1970s,Thermal,Thermal group: medium,1776,100000,-6117.989163069993,3.2440941738479614,0.25827978598769974,0.24426847088909526,15.632466107706204,ok
beta_turnover,1,1970s,Thermal,Thermal group: very cold,1776,100000,-6161.107080041381,3.16651820075997,0.27642344479462383,0.29124017150066184,16.095008411186683,ok
beta_turnover,1,1970s,Thermal,Thermal group: very warm,1776,100000,-5928.099909481947,3.611177924358254,0.18301463247242541,0.17515888113099265,14.060846779701471,ok
