atlas,period,base_site,survey,trait_family,trait_value,n_species,trait_probability,expected_group_richness,expected_total_richness,site,X,Y
1,1970s,AD90,AD90_1,Thermal,CWM STI,157,11.485454149413885,NA,46.93829583095509,AD90,447500.0709493527,6252499.57832838
1,1970s,BD19,BD19_1,Thermal,CWM STI,157,11.836933890544513,NA,67.13935349383976,BD19,457500.063487968,6297499.744964002
1,1970s,DC09,DC09_1,Thermal,CWM STI,157,12.046399353541164,NA,45.92459301434293,DC09,552499.6781305044,6347499.774804628
1,1970s,DB11,DB11_1,Thermal,CWM STI,157,12.09366907901602,NA,54.656701856830665,DB11,557499.6898730142,6357499.755865983
1,1970s,DB13,DB13_1,Thermal,CWM STI,157,12.234633613541126,NA,32.74862806357594,DB13,557499.6790873646,6367499.744899912
1,1970s,DB14,DB14_1,Thermal,CWM STI,157,12.087939474383743,NA,39.23917848910627,DB14,557499.6920318474,6372499.795985679
1,1970s,DB15,DB15_1,Thermal,CWM STI,157,12.065359831244217,NA,41.259546120503465,DB15,557499.6776623846,6377499.772861233
1,1970s,DB16,DB16_1,Thermal,CWM STI,157,11.91799774519727,NA,51.15437309682872,DB16,557499.6934591797,6382499.787658613
1,1970s,BD20,BD20_1,Thermal,CWM STI,157,12.056758715232316,NA,40.72555951625907,BD20,462500.0521724849,6252499.692892568
1,1970s,DB20,DB20_1,Thermal,CWM STI,157,12.197572367651935,NA,35.05620815490471,DB20,562499.6596629414,6352499.822055593
1,1970s,DB21,DB21_1,Thermal,CWM STI,157,12.048317318510522,NA,31.20532094812379,DB21,562499.6778171846,6357499.774650563
1,1970s,DB22,DB22_1,Thermal,CWM STI,157,12.04709057597809,NA,32.66983547465052,DB22,562499.6515363256,6362499.764446196
1,1970s,DB23,DB23_1,Thermal,CWM STI,157,12.23078375375564,NA,34.79154281440887,DB23,562499.6400820935,6367499.792328508
1,1970s,DB24,DB24_1,Thermal,CWM STI,157,12.117406589986668,NA,51.382965807696465,DB24,562499.6441820732,6372499.746949654
1,1970s,DB25,DB25_1,Thermal,CWM STI,157,12.123287366636323,NA,49.59620021432729,DB25,562499.6611575983,6377499.739594084
1,1970s,DB26,DB26_1,Thermal,CWM STI,157,11.996647128276445,NA,47.38891450278554,DB26,562499.6900292314,6382499.770230629
1,1970s,DB31,DB31_1,Thermal,CWM STI,157,12.0235889389099,NA,33.18389681031626,DB31,567499.6497347835,6357499.773935058
1,1970s,DB32,DB32_1,Thermal,CWM STI,157,12.067913089965085,NA,43.21675566129915,DB32,567499.649767541,6362499.788996397
