model_set,trait_family,trait_value,n_species,dominant_driver,dominant_direction,n_cells,prop_cells,signed_prop
Multivariate reduced,Foraging guild,Aquatic pursuers,6,Cropland,Negative,445,0.2976588628762542,-0.2976588628762542
Multivariate reduced,Foraging guild,Aquatic pursuers,6,Forest,Negative,2,0.0013377926421404682,-0.0013377926421404682
Multivariate reduced,Foraging guild,Aquatic pursuers,6,Forest,Positive,19,0.012709030100334449,0.012709030100334449
Multivariate reduced,Foraging guild,Aquatic pursuers,6,Precipitation,Negative,225,0.1505016722408027,-0.1505016722408027
Multivariate reduced,Foraging guild,Aquatic pursuers,6,Precipitation,Positive,12,0.008026755852842809,0.008026755852842809
Multivariate reduced,Foraging guild,Aquatic pursuers,6,Temperature,Negative,208,0.1391304347826087,-0.1391304347826087
Multivariate reduced,Foraging guild,Aquatic pursuers,6,Temperature,Positive,584,0.3906354515050167,0.3906354515050167
Multivariate reduced,Foraging guild,Dabbling ducks,7,Cropland,Negative,98,0.0650298606502986,-0.0650298606502986
Multivariate reduced,Foraging guild,Dabbling ducks,7,Forest,Positive,41,0.027206370272063702,0.027206370272063702
Multivariate reduced,Foraging guild,Dabbling ducks,7,Precipitation,Negative,10,0.006635700066357001,-0.006635700066357001
Multivariate reduced,Foraging guild,Dabbling ducks,7,Precipitation,Positive,752,0.49900464499004643,0.49900464499004643
Multivariate reduced,Foraging guild,Dabbling ducks,7,Temperature,Negative,147,0.09754479097544791,-0.09754479097544791
Multivariate reduced,Foraging guild,Dabbling ducks,7,Temperature,Positive,293,0.19442601194426012,0.19442601194426012
Multivariate reduced,Foraging guild,Dabbling ducks,7,Urban,Negative,166,0.11015262110152621,-0.11015262110152621
Multivariate reduced,Foraging guild,Diurnal raptors,7,Cropland,Negative,720,0.4316546762589928,-0.4316546762589928
Multivariate reduced,Foraging guild,Diurnal raptors,7,Forest,Negative,262,0.15707434052757793,-0.15707434052757793
Multivariate reduced,Foraging guild,Diurnal raptors,7,Precipitation,Negative,352,0.21103117505995203,-0.21103117505995203
Multivariate reduced,Foraging guild,Diurnal raptors,7,Precipitation,Positive,4,0.002398081534772182,0.002398081534772182
Multivariate reduced,Foraging guild,Diurnal raptors,7,Temperature,Negative,22,0.013189448441247002,-0.013189448441247002
Multivariate reduced,Foraging guild,Diurnal raptors,7,Temperature,Positive,37,0.022182254196642687,0.022182254196642687
Multivariate reduced,Foraging guild,Diurnal raptors,7,Urban,Negative,271,0.16247002398081534,-0.16247002398081534
