trait_family,trait_value,n_species,base_site,site_from,site_to,X,Y,local_r2,dominant_predictor,dominant_predictor_label,dominant_local_t,dominant_abs_local_t,supported,dominant_driver,dominant_direction
Foraging guild,Aquatic pursuers,6,AD90,AD90,AD90,447500.0709493527,6252499.57832838,0.31504072824515683,perc_cropland,Cropland,-1.9913731675757367,1.9913731675757367,TRUE,Cropland,Negative
Foraging guild,Aquatic pursuers,6,BD19,BD19,BD19,457500.063487968,6297499.744964002,0.3254444451889019,perc_cropland,Cropland,-3.0099079698746753,3.0099079698746753,TRUE,Cropland,Negative
Foraging guild,Aquatic pursuers,6,DC09,DC09,DC09,552499.6781305044,6347499.774804628,0.13653937235476157,tmean_breeding,Temperature,4.0519038857655785,4.0519038857655785,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB11,DB11,DB11,557499.6898730142,6357499.755865983,0.1303838718948244,tmean_breeding,Temperature,3.4551320418757796,3.4551320418757796,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB13,DB13,DB13,557499.6790873646,6367499.744899912,0.13084621982830238,tmean_breeding,Temperature,3.0402175666261884,3.0402175666261884,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB14,DB14,DB14,557499.6920318474,6372499.795985679,0.12909776250286284,tmean_breeding,Temperature,2.795817646671531,2.795817646671531,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB15,DB15,DB15,557499.6776623846,6377499.772861233,0.12569961786729844,tmean_breeding,Temperature,2.5295797391773656,2.5295797391773656,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB16,DB16,DB16,557499.6934591797,6382499.787658613,0.1208266028034653,perc_forest,Forest,2.289873413730988,2.289873413730988,TRUE,Forest,Positive
Foraging guild,Aquatic pursuers,6,BD20,BD20,BD20,462500.0521724849,6252499.692892568,0.3128404964454254,perc_cropland,Cropland,-2.5700549310212444,2.5700549310212444,TRUE,Cropland,Negative
Foraging guild,Aquatic pursuers,6,DB20,DB20,DB20,562499.6596629414,6352499.822055593,0.12040905990345897,tmean_breeding,Temperature,3.334706660450259,3.334706660450259,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB21,DB21,DB21,562499.6778171846,6357499.774650563,0.12177573073374912,tmean_breeding,Temperature,3.177413799400369,3.177413799400369,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB22,DB22,DB22,562499.6515363256,6362499.764446196,0.12227375736698948,tmean_breeding,Temperature,2.9855348630709413,2.9855348630709413,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB23,DB23,DB23,562499.6400820935,6367499.792328508,0.12149436708563982,tmean_breeding,Temperature,2.7675374430529387,2.7675374430529387,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB24,DB24,DB24,562499.6441820732,6372499.746949654,0.11914527727369889,tmean_breeding,Temperature,2.52833410012811,2.52833410012811,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB25,DB25,DB25,562499.6611575983,6377499.739594084,0.11554884951922541,tmean_breeding,Temperature,2.2697319935358244,2.2697319935358244,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB26,DB26,DB26,562499.6900292314,6382499.770230629,0.11048540256971749,perc_forest,Forest,2.1789952985017598,2.1789952985017598,TRUE,Forest,Positive
Foraging guild,Aquatic pursuers,6,DB31,DB31,DB31,567499.6497347835,6357499.773935058,0.11394978714035711,tmean_breeding,Temperature,2.9079043629900787,2.9079043629900787,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,DB32,DB32,DB32,567499.649767541,6362499.788996397,0.11398125473910206,tmean_breeding,Temperature,2.716015684222762,2.716015684222762,TRUE,Temperature,Positive
Foraging guild,Aquatic pursuers,6,BD21,BD21,BD21,462500.04652625887,6257499.613366459,0.30948848635836856,perc_cropland,Cropland,-2.6231002253858366,2.6231002253858366,TRUE,Cropland,Negative
