base_site,site_from,site_to,X,Y,predictor,predictor_label,coefficient,local_t,abs_local_t,direction,local_r2,trait_family,trait_value,n_species,model_set,supported,dominant_driver,dominant_direction
AD90,AD90,AD90,447500.0709493527,6252499.57832838,perc_grass_shrub,Grass/Shrubland,9.975316097019724e-4,2.6149102811945455,2.6149102811945455,Positive,0.29564914201458853,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AD91,AD91,AD91,447500.05017916387,6257499.546271402,perc_grass_shrub,Grass/Shrubland,0.0010576497053857291,2.686113558130068,2.686113558130068,Positive,0.2927709554172711,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AD92,AD92,AD92,447500.02377636905,6262499.551973275,perc_grass_shrub,Grass/Shrubland,0.0011231454049631757,2.761700826654195,2.761700826654195,Positive,0.2910265702645087,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AD93,AD93,AD93,447499.9924736935,6267499.595406948,perc_grass_shrub,Grass/Shrubland,0.0011881689702727448,2.8270635481456394,2.8270635481456394,Positive,0.29047433784291166,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AD94,AD94,AD94,447499.9570043505,6272499.676545255,perc_grass_shrub,Grass/Shrubland,0.0012453207890281307,2.866645287317001,2.866645287317001,Positive,0.2910656144886588,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AD95,AD95,AD95,447499.9167107371,6277499.684056323,perc_grass_shrub,Grass/Shrubland,0.0013013338485571987,2.8963048552268313,2.8963048552268313,Positive,0.29274815825185196,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AE93,AE93,AE93,447500.1701742312,6217499.746982312,perc_grass_shrub,Grass/Shrubland,7.206377257344694e-4,2.202093473231062,2.202093473231062,Positive,0.33592110583356194,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AE94,AE94,AE94,447500.1510277113,6222499.78450804,perc_grass_shrub,Grass/Shrubland,7.603112027365397e-4,2.2959058342956022,2.2959058342956022,Positive,0.3300354127719076,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AE95,AE95,AE95,447500.18198725476,6227499.747924402,perc_grass_shrub,Grass/Shrubland,7.97715624599352e-4,2.3716920455088153,2.3716920455088153,Positive,0.3236773102408959,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AE96,AE96,AE96,447500.139576756,6232499.638727918,perc_grass_shrub,Grass/Shrubland,0.00083342615595722095,2.4305905360155013,2.4305905360155013,Positive,0.31723878647258413,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
AE97,AE97,AE97,447500.1513174165,6237499.67796077,perc_grass_shrub,Grass/Shrubland,8.669121624660404e-4,2.4717471779536995,2.4717471779536995,Positive,0.3108799391836234,Foraging guild,Aquatic pursuers,6,single_predictor,TRUE,Grass/Shrubland,Positive
