trait_family,trait_value,n_species,model_set,predictor,n_rows,bandwidth_m,aicc,rss,local_r2_mean,local_r2_median,local_r2_max,max_abs_local_t,status
Foraging guild,Aquatic pursuers,6,single_predictor,Land-use heterogeneity,1776,100000,-12386.988165480952,0.09520824863151667,0.19684669761118737,0.2081766767249827,0.3501428529487595,5.13838660819136,ok
Foraging guild,Aquatic pursuers,6,single_predictor,Cropland,1776,100000,-12395.651084729094,0.09475602723858725,0.20197723832500067,0.21023508609700503,0.34980700700486594,6.2910874278654765,ok
Foraging guild,Aquatic pursuers,6,single_predictor,Forest,1776,100000,-12371.621136250724,0.09597708712376796,0.19026861515767235,0.2047543141061126,0.34630057336240266,2.8603993292239727,ok
Foraging guild,Aquatic pursuers,6,single_predictor,Grass/Shrubland,1776,100000,-12388.90754790851,0.09503605714739714,0.19810407994594081,0.21039686228591548,0.3532756890675887,4.894936697392659,ok
Foraging guild,Aquatic pursuers,6,single_predictor,Pasture,1776,100000,-12392.71716032088,0.09478511917172888,0.20138226982928176,0.2126503391749233,0.34851546799281374,5.328632328866715,ok
Foraging guild,Aquatic pursuers,6,single_predictor,Urban,1776,100000,-12367.532909586,0.09625253060063839,0.1879404368574497,0.20171784973391027,0.34099062131506885,2.802786570953607,ok
Foraging guild,Aquatic pursuers,6,single_predictor,Precipitation,1776,100000,-12377.346487537907,0.09588295295291697,0.1907189132123086,0.20792547394404978,0.34944478009390323,8.66135109848511,ok
Foraging guild,Aquatic pursuers,6,single_predictor,Temperature,1776,100000,-12379.809628813528,0.0960312133074549,0.18834472434540583,0.2053780950069345,0.3438533632983678,11.51996517063285,ok
Foraging guild,Dabbling ducks,7,single_predictor,Land-use heterogeneity,1776,100000,-11242.01713585893,0.18140960369887493,0.0737342685374636,0.05774623420960215,0.6333573166775003,3.8678148369075993,ok
Foraging guild,Dabbling ducks,7,single_predictor,Cropland,1776,100000,-11245.226671447585,0.18110318431501343,0.07514743660233812,0.05932781866514565,0.6303380090139274,4.743733314696991,ok
Foraging guild,Dabbling ducks,7,single_predictor,Forest,1776,100000,-11244.810405637318,0.18101411083793795,0.07752546857893447,0.06221071347208654,0.695647716500289,3.0238271724966848,ok
Foraging guild,Dabbling ducks,7,single_predictor,Grass/Shrubland,1776,100000,-11247.761618666584,0.18069192166773945,0.07610344330392098,0.06194146162002294,0.6380353154737881,4.599931607544375,ok
Foraging guild,Dabbling ducks,7,single_predictor,Pasture,1776,100000,-11251.308211279264,0.18024150484957996,0.0798461439704511,0.06654862610946254,0.6232183474828971,3.465548625424558,ok
Foraging guild,Dabbling ducks,7,single_predictor,Urban,1776,100000,-11231.993310389182,0.18242801734876118,0.06972195121993424,0.05471967804913011,0.6262151439706302,2.9081769800632427,ok
Foraging guild,Dabbling ducks,7,single_predictor,Precipitation,1776,100000,-11275.287496878442,0.17833377207759693,0.08619717735277017,0.07180239336067548,0.6251348994601037,8.538163619618706,ok
Foraging guild,Dabbling ducks,7,single_predictor,Temperature,1776,100000,-11257.540882130948,0.18065359456148822,0.07563263134783611,0.05859083394246631,0.631433218901663,7.184295806032108,ok
Foraging guild,Diurnal raptors,7,single_predictor,Land-use heterogeneity,1776,100000,-11467.447843793938,0.15978445863012536,0.20976750478366996,0.22132807344540922,0.623025476870887,7.753638489040868,ok
Foraging guild,Diurnal raptors,7,single_predictor,Cropland,1776,100000,-11457.282268234632,0.16072041040670798,0.2034760837944299,0.22596919531959223,0.5401183728898036,7.817012528966555,ok
Foraging guild,Diurnal raptors,7,single_predictor,Forest,1776,100000,-11417.634966018039,0.1642293394629638,0.18501178807704266,0.1861430371299856,0.4799692899169751,5.224620838958698,ok
Foraging guild,Diurnal raptors,7,single_predictor,Grass/Shrubland,1776,100000,-11437.45497097858,0.16238729157798587,0.1961791463083768,0.20768105549494026,0.5510708366123999,6.653223828461577,ok
Foraging guild,Diurnal raptors,7,single_predictor,Pasture,1776,100000,-11443.345534873828,0.16176885924164766,0.19640661094325723,0.21061464184186593,0.5829236912218816,6.399377283216792,ok
Foraging guild,Diurnal raptors,7,single_predictor,Urban,1776,100000,-11398.836533231966,0.16607050276212193,0.17378325771753508,0.1618140292834788,0.5083807741899554,4.592326391140047,ok
Foraging guild,Diurnal raptors,7,single_predictor,Precipitation,1776,100000,-11422.829230291849,0.1641173331625414,0.18274031119107298,0.17980840129332176,0.5677296904143673,11.379218940179685,ok
Foraging guild,Diurnal raptors,7,single_predictor,Temperature,1776,100000,-11397.682460641689,0.16694640101077435,0.17080249263712471,0.16257606206672975,0.48359423195488455,10.0315819404105,ok
Foraging guild,Foliage gleaners,9,single_predictor,Land-use heterogeneity,1776,100000,-8494.376504766624,0.8522265782007172,0.11665076195329072,0.10051698142686114,0.4584224210563206,7.8038627137795205,ok
Foraging guild,Foliage gleaners,9,single_predictor,Cropland,1776,100000,-8523.973566730412,0.8382396653519903,0.12737375251989652,0.11002202204298525,0.4990609777128064,9.399705174587439,ok
Foraging guild,Foliage gleaners,9,single_predictor,Forest,1776,100000,-8463.617427282084,0.8665865822882602,0.1067441909073262,0.08500209436369922,0.4250430538800543,3.8386602392350495,ok
Foraging guild,Foliage gleaners,9,single_predictor,Grass/Shrubland,1776,100000,-8488.414018489106,0.854468982287265,0.11344223381258149,0.0921175015382988,0.4523911905435055,7.756673003835728,ok
Foraging guild,Foliage gleaners,9,single_predictor,Pasture,1776,100000,-8456.1061394746,0.8697211870782324,0.10314566186123154,0.08639739244030037,0.4115157716427862,4.0211350790393405,ok
Foraging guild,Foliage gleaners,9,single_predictor,Urban,1776,100000,-8451.685840005997,0.8729201716600734,0.09823302475421179,0.07758251030854435,0.42826253486265725,4.3900723564512845,ok
Foraging guild,Foliage gleaners,9,single_predictor,Precipitation,1776,100000,-8550.111325366368,0.8272467027447644,0.1316218185723535,0.10524046324575334,0.5042978437157112,13.905584157661902,ok
Foraging guild,Foliage gleaners,9,single_predictor,Temperature,1776,100000,-8518.733391603524,0.8444644927615418,0.11772401151941593,0.0920506010847625,0.5144254871513563,14.368008795251288,ok
Foraging guild,Gulls,5,single_predictor,Land-use heterogeneity,1776,100000,-12468.84679059214,0.09091954686996848,0.07528578286705549,0.06904296634021581,0.24990425707677222,2.9552246946009357,ok
Foraging guild,Gulls,5,single_predictor,Cropland,1776,100000,-12478.455126713116,0.09043953957410163,0.0798527065846094,0.07505047208758235,0.23837854078266185,4.786223760508548,ok
