trait_family,trait_value,n_species,n_sites,mean_probability_from,mean_probability_to,mean_probability_delta,median_probability_delta,q10_probability_delta,q25_probability_delta,q75_probability_delta,q90_probability_delta,sd_probability_delta,prop_sites_increase,mean_group_richness_delta,rank_by_change,direction,eligible_for_main_plot
Foraging guild,Aerial insectivores,4,1776,0.045980869236513976,0.0390617697729745,-0.00691909946353948,-0.006769298126451866,-0.013501643299887824,-0.00998066419465868,-0.0035514040220161643,-8.256050722654715e-4,0.005405052755341694,0.08220720720720721,0.013080838104517479,31,Decrease,FALSE
Foraging guild,Aquatic pursuers,6,1776,0.012357377133950938,0.017040308693012266,0.004682931559061328,0.004416797317429668,-0.005096230921763726,-2.807533875213062e-4,0.009535963392205127,0.015139912991376393,0.008253999779277288,0.7421171171171171,0.4257013791867107,6,Increase,TRUE
Foraging guild,Buntings,3,1776,0.051187474080249006,0.03966560306632892,-0.011521871013920082,-0.010716774985464857,-0.02358045899107826,-0.01736055098946425,-0.005258106131377003,-3.900093003321205e-4,0.009659436700764069,0.0929054054054054,-0.18607104046115075,34,Decrease,FALSE
Foraging guild,Columbids,4,1776,0.029800159603059657,0.033360471849686636,0.0035603122466269783,0.0043059443229455235,-0.005265882186221305,-7.909549717666099e-4,0.008186792477292195,0.011319786930924124,0.006528367579755222,0.7117117117117117,0.5387484440671862,8,Increase,FALSE
Foraging guild,Cuckoos,1,1776,0.016218992934477695,0.01404266642327308,-0.0021763265112046152,-0.0020106352465630254,-0.005133407469186244,-0.003585419132963176,-6.545632194989619e-4,6.58966600491695e-4,0.002388122254649614,0.15934684684684686,0.03200226772394174,24,Decrease,FALSE
Foraging guild,Dabbling ducks,7,1776,0.02633555653662364,0.022023451076654973,-0.004312105459968668,-0.003791445240276908,-0.0172277690241655,-0.01015555541431118,0.0022881810978754415,0.008485371704411142,0.010532037429120672,0.3338963963963964,-0.020280215287879783,29,Decrease,TRUE
Foraging guild,Dippers,1,1776,1.2346042017043524e-4,9.600492446047639e-5,-2.7455495709958877e-5,-2.7454775053745443e-6,-2.004381659292792e-4,-5.8748339519729504e-5,4.717292427631189e-5,1.578948483620676e-4,2.3048405925460235e-4,0.47015765765765766,-0.0012069672986312577,16,Decrease,FALSE
Foraging guild,Diurnal raptors,7,1776,0.026135447855437224,0.0387597394897375,0.012624291634300273,0.012983332018569563,-0.001493373014282021,0.005596696999940183,0.020127588885893204,0.02648277348697532,0.010732638859737756,0.8789414414414415,1.024673811183887,1,Increase,TRUE
Foraging guild,Diving ducks,3,1776,0.002811423836796146,0.004164594568654018,0.0013531707318578717,7.078089373988006e-4,-0.002650926707706514,-1.842547513893312e-4,0.00288874526649735,0.007088924162771324,0.004512258544076525,0.7111486486486487,0.11894124416041998,11,Increase,FALSE
Foraging guild,Flycatchers,3,1776,0.010954023945325693,0.010479010280505486,-4.7501366482020826e-4,-3.16331157292508e-4,-0.008570015417888377,-0.004605875055483519,0.0042910619983622025,0.007059468286291281,0.006024397549867972,0.48254504504504503,0.039814387770387996,18,Decrease,FALSE
Foraging guild,Foliage gleaners,9,1776,0.13629047526324486,0.12804653076651037,-0.008243944496734492,-0.00885911977993168,-0.03699049472947684,-0.023689884536680073,0.0059302883910499725,0.020529597017201265,0.023788136775533864,0.32995495495495497,0.7602421577985803,32,Decrease,TRUE
Foraging guild,Gallinaceous birds,2,1776,0.013434785343397787,0.01231522328022812,-0.001119562063169668,-0.0014770162230424216,-0.0068659326958745584,-0.004356148938735906,0.001836790494170108,0.005133991746928522,0.004730677842524916,0.375,0.06643427281675668,19,Decrease,FALSE
Foraging guild,Grazing waterfowl,2,1776,0.009821585791244161,0.016995718702939897,0.007174132911695735,0.006968211983494812,-5.100173575047758e-4,0.00282233899288805,0.011119879438142917,0.015676099745605958,0.006254937607796775,0.8845720720720721,0.5462657462273864,5,Increase,FALSE
