trait_family,trait_value,variable_clean,mean_vp,median_vp,total_mean_vp,relative_vp,n_species,eligible_for_main_plot
Foraging guild,Aerial insectivores,Temperature,0.0010873179525502017,9.349129495811392e-4,0.04432346888449509,0.024531427253216616,4,FALSE
Foraging guild,Aerial insectivores,Precipitation,0.0041266901919023435,0.0018331557669779262,0.04432346888449509,0.0931039536336,4,FALSE
Foraging guild,Aerial insectivores,Land-use heterogeneity,0.003565441579506049,0.00359940479166571,0.04432346888449509,0.0804413929965054,4,FALSE
Foraging guild,Aerial insectivores,Urban,0.019906529533333335,0.007092850041735788,0.04432346888449509,0.4491193950818432,4,FALSE
Foraging guild,Aerial insectivores,Cropland,0.007904273222377484,0.009008014890293407,0.04432346888449509,0.1783315571029798,4,FALSE
Foraging guild,Aerial insectivores,Pasture,0.001966665101904339,8.301629551475968e-4,0.04432346888449509,0.04437073973224833,4,FALSE
Foraging guild,Aerial insectivores,Forest,0.0038128006794305516,0.004581062563784986,0.04432346888449509,0.08602216332314905,4,FALSE
Foraging guild,Aerial insectivores,Grass/Shrubland,0.001953750623490781,0.0015304998395319798,0.04432346888449509,0.04407937087645745,4,FALSE
Foraging guild,Aquatic pursuers,Temperature,0.0029385941929263018,0.0020195618055830356,0.07519227348277276,0.039081065870412345,6,TRUE
Foraging guild,Aquatic pursuers,Precipitation,0.007864580330147634,0.004969647374125952,0.07519227348277276,0.10459293177176618,6,TRUE
Foraging guild,Aquatic pursuers,Land-use heterogeneity,0.014408087654542549,0.007027652431625023,0.07519227348277276,0.19161659818470012,6,TRUE
Foraging guild,Aquatic pursuers,Urban,0.013884913183542987,0.009767122083428548,0.07519227348277276,0.1846587759675088,6,TRUE
Foraging guild,Aquatic pursuers,Cropland,0.011021322611161151,0.0042550215201702605,0.07519227348277276,0.146575201156622,6,TRUE
Foraging guild,Aquatic pursuers,Pasture,0.005574707525436571,0.004555930190290983,0.07519227348277276,0.07413936654959352,6,TRUE
Foraging guild,Aquatic pursuers,Forest,0.01581615727698542,0.012747490496601864,0.07519227348277276,0.2103428523225734,6,TRUE
Foraging guild,Aquatic pursuers,Grass/Shrubland,0.0036839107080301513,0.004392823211772901,0.07519227348277276,0.04899320817682377,6,TRUE
Foraging guild,Buntings,Temperature,0.01247723566221372,0.0056784396950533824,0.07588823970896613,0.16441593203458565,3,FALSE
Foraging guild,Buntings,Precipitation,0.010272153015707042,0.010686980243803622,0.07588823970896613,0.13535895752887514,3,FALSE
Foraging guild,Buntings,Land-use heterogeneity,0.007574331837841099,0.004382722178781539,0.07588823970896613,0.09980903321633111,3,FALSE
Foraging guild,Buntings,Urban,0.0016411685872811553,0.0010156214737808472,0.07588823970896613,0.02162612538616115,3,FALSE
Foraging guild,Buntings,Cropland,0.032256381770639164,0.02071542018151878,0.07588823970896613,0.42505112642411313,3,FALSE
Foraging guild,Buntings,Pasture,0.0028216469129086538,0.0012499723971701375,0.07588823970896613,0.03718160974256039,3,FALSE
Foraging guild,Buntings,Forest,0.007267110696627348,0.0047742930259103665,0.07588823970896613,0.09576069657824393,3,FALSE
Foraging guild,Buntings,Grass/Shrubland,0.0015782112257479548,0.0017513098510720175,0.07588823970896613,0.02079651908912957,3,FALSE
Foraging guild,Columbids,Temperature,0.012376402085641669,0.002547802078844132,0.07153632414040399,0.1730086390985168,4,FALSE
Foraging guild,Columbids,Precipitation,0.011462378187436503,0.005019430960585709,0.07153632414040399,0.16023157920358544,4,FALSE
Foraging guild,Columbids,Land-use heterogeneity,0.003987661639102568,0.0021638704505009816,0.07153632414040399,0.05574317225576204,4,FALSE
Foraging guild,Columbids,Urban,0.015038348698297786,0.0048721724835033755,0.07153632414040399,0.21021975729116432,4,FALSE
Foraging guild,Columbids,Cropland,0.00889249414932268,0.007336876348930114,0.07153632414040399,0.12430739566474544,4,FALSE
Foraging guild,Columbids,Pasture,0.0017134137215147913,9.073398557507885e-4,0.07153632414040399,0.023951660112586756,4,FALSE
Foraging guild,Columbids,Forest,0.01691399714682066,0.013299991294555998,0.07153632414040399,0.23643928242138415,4,FALSE
Foraging guild,Columbids,Grass/Shrubland,0.0011516285122673406,8.976584443466144e-4,0.07153632414040399,0.016098513952255148,4,FALSE
Foraging guild,Cuckoos,Temperature,0.009234372652734819,0.009234372652734819,0.04696183354831466,0.19663569232735414,1,FALSE
Foraging guild,Cuckoos,Precipitation,0.003271194695982126,0.003271194695982126,0.04696183354831466,0.06965645182096006,1,FALSE
Foraging guild,Cuckoos,Land-use heterogeneity,0.001362721338308456,0.001362721338308456,0.04696183354831466,0.029017634861008543,1,FALSE
Foraging guild,Cuckoos,Urban,0.0017405539144971164,0.0017405539144971164,0.04696183354831466,0.03706315922921584,1,FALSE
Foraging guild,Cuckoos,Cropland,0.007445769314481548,0.007445769314481548,0.04696183354831466,0.15854937407461506,1,FALSE
Foraging guild,Cuckoos,Pasture,0.01786591899329367,0.01786591899329367,0.04696183354831466,0.3804348689859626,1,FALSE
Foraging guild,Cuckoos,Forest,0.0049084270773247516,0.0049084270773247516,0.04696183354831466,0.10451949394767408,1,FALSE
Foraging guild,Cuckoos,Grass/Shrubland,0.0011328755616921737,0.0011328755616921737,0.04696183354831466,0.02412332475320972,1,FALSE
