trait_family,trait_value,n_species,base_site,site_from,site_to,period_from,period_to,probability_from,probability_to,probability_delta,expected_group_richness_from,expected_group_richness_to,expected_group_richness_delta,expected_total_richness_from,expected_total_richness_to
Migratory strategy,long-distance,44,AD90,AD90,AD90,1970s,2010s,0.33208553340468894,0.26380909206827574,-0.0682764413364132,15.58752900812981,16.95807326073828,1.3705442526084717,46.93829583095509,64.28161034097114
Migratory strategy,long-distance,44,BD19,BD19,BD19,1970s,2010s,0.24225973372159473,0.263192223529519,0.020932489807924254,16.26516189965764,16.05071567660889,-0.21444622304875338,67.13935349383976,60.984764144479676
Migratory strategy,long-distance,44,DC09,DC09,DC09,1970s,2010s,0.2578163809277767,0.27780815788828656,0.019991776960509855,11.84011236653895,19.438089672858048,7.597977306319098,45.92459301434293,69.96947037341711
Migratory strategy,long-distance,44,DB11,DB11,DB11,1970s,2010s,0.2582115883973386,0.26123378025829513,0.0030221918609565357,14.112993803012012,14.897372181093662,0.7843783780816498,54.656701856830665,57.0269747134688
Migratory strategy,long-distance,44,DB13,DB13,DB13,1970s,2010s,0.16675228775160256,0.24653501641391712,0.07978272866231456,5.460908650327623,17.226517934297412,11.76560928396979,32.74862806357594,69.87452810912325
Migratory strategy,long-distance,44,DB14,DB14,DB14,1970s,2010s,0.2606007602327215,0.25797744067240325,-0.002623319560318249,10.225759745168547,15.297857850145084,5.072098104976536,39.23917848910627,59.29920775348459
Migratory strategy,long-distance,44,DB15,DB15,DB15,1970s,2010s,0.2620656595414941,0.2508965528908538,-0.011169106650640304,10.812710166452433,17.409406268946725,6.596696102494292,41.259546120503465,69.38878222260888
Migratory strategy,long-distance,44,DB16,DB16,DB16,1970s,2010s,0.25421233281281674,0.2509853828904252,-0.003226949922391531,13.004072518522023,17.147903019945794,4.143830501423771,51.15437309682872,68.32231750895309
Migratory strategy,long-distance,44,BD20,BD20,BD20,1970s,2010s,0.23183274158657985,0.2391430037742777,0.007310262187697841,9.441518115301767,13.236609154754479,3.7950910394527124,40.72555951625907,55.350183554808275
Migratory strategy,long-distance,44,DB20,DB20,DB20,1970s,2010s,0.1977129559693992,0.2512215703429838,0.05350861437358462,6.9310665393847675,13.487559186960269,6.556492647575501,35.05620815490471,53.68790254971413
Migratory strategy,long-distance,44,DB21,DB21,DB21,1970s,2010s,0.320692357435561,0.24415317431749428,-0.07653918311806673,10.007307939387115,13.010958552081846,3.003650612694731,31.20532094812379,53.29014700895319
Migratory strategy,long-distance,44,DB22,DB22,DB22,1970s,2010s,0.27544834177938887,0.25748096342705684,-0.01796737835233203,8.99885200769794,16.976745822482304,7.977893814784364,32.66983547465052,65.93398438673987
Migratory strategy,long-distance,44,DB23,DB23,DB23,1970s,2010s,0.16966404395831605,0.258201646248339,0.08853760229002297,5.902873849441502,15.118804927878518,9.215931078437016,34.79154281440887,58.554254581851936
Migratory strategy,long-distance,44,DB24,DB24,DB24,1970s,2010s,0.24671368069941096,0.2507876320777266,0.004073951378315621,12.676880619668777,15.057010765074281,2.380130145405504,51.382965807696465,60.03888884124742
Migratory strategy,long-distance,44,DB25,DB25,DB25,1970s,2010s,0.2412799073718108,0.25599494899809816,0.014715041626287367,11.966566593706672,13.036118733852017,1.0695521401453458,49.59620021432729,50.92334354592624
Migratory strategy,long-distance,44,DB26,DB26,DB26,1970s,2010s,0.2397852581644798,0.2733342685141629,0.033549010349683134,11.363163098184891,18.611973096498154,7.248809998313263,47.38891450278554,68.09235152866962
Migratory strategy,long-distance,44,DB31,DB31,DB31,1970s,2010s,0.30462433417275053,0.2418603615583638,-0.06276397261438674,10.108622471099851,16.310694162759354,6.202071691659503,33.18389681031626,67.43847589437837
Migratory strategy,long-distance,44,DB32,DB32,DB32,1970s,2010s,0.28794472350137157,0.23920442100582784,-0.04874030249554373,12.44403675951912,17.25238637303584,4.80834961351672,43.21675566129915,72.1240280614024
Migratory strategy,long-distance,44,BD21,BD21,BD21,1970s,2010s,0.24638044418663174,0.22957641531409576,-0.016804028872535987,13.02409927755163,12.783722291655115,-0.24037698589651413,52.861741200880175,55.68395287540761
Migratory strategy,long-distance,44,DB33,DB33,DB33,1970s,2010s,0.21535198834875818,0.2538400047126983,0.038488016363940114,10.922334116271257,17.57203428214932,6.649700165878064,50.718519945043454,69.22484224674412
Migratory strategy,long-distance,44,DB34,DB34,DB34,1970s,2010s,0.24770284608204973,0.23544326758863796,-0.012259578493411777,15.388432236499199,16.706449332183833,1.3180170956846347,62.12456772257633,70.95743065107739
Migratory strategy,long-distance,44,DB35,DB35,DB35,1970s,2010s,0.24139330236569398,0.2619542238797397,0.020560921514045732,11.58522049275266,14.997356558520273,3.412136065767614,47.993131454831584,57.25182185039091
Migratory strategy,long-distance,44,DB36,DB36,DB36,1970s,2010s,0.23069851941697617,0.25698340673860337,0.026284887321627204,8.831262993574459,21.49762333439947,12.666360340825012,38.280536068861316,83.65374094470728
Migratory strategy,long-distance,44,DB40,DB40,DB40,1970s,2010s,0.242166144095637,0.2159221054140995,-0.02624403868153749,15.13150037046226,12.498396645884695,-2.633103724577566,62.48396292954345,57.88382167687293
Migratory strategy,long-distance,44,DB41,DB41,DB41,1970s,2010s,0.26545956257125713,0.23671623854691998,-0.028743324024337158,9.569032586771732,12.906381824719361,3.3373492379476293,36.04704420547338,54.52258748257003
Migratory strategy,long-distance,44,DB42,DB42,DB42,1970s,2010s,0.25758764548239294,0.2323426270912695,-0.025245018391123447,12.506648797732264,17.135282174052904,4.628633376320639,48.552983875879015,73.75005778565883
Migratory strategy,long-distance,44,DB43,DB43,DB43,1970s,2010s,0.25335449777617947,0.2548529934952782,0.0014984957190987136,12.537468364201342,18.464022618968556,5.926554254767215,49.48587246032354,72.44969880768008
Migratory strategy,long-distance,44,DB44,DB44,DB44,1970s,2010s,0.2572699690271229,0.24543618551424282,-0.011833783512880086,14.818850301720632,18.6692689916872,3.8504186899665687,57.60038903008669,76.06567447489853
Migratory strategy,long-distance,44,DB45,DB45,DB45,1970s,2010s,0.21880066616595253,0.25365467971580563,0.0348540135498531,9.957722932185664,19.13243240989118,9.174709477705516,45.510478129134604,75.42708232833367
Migratory strategy,long-distance,44,BD22,BD22,BD22,1970s,2010s,0.2580796734573903,0.2283893307003479,-0.02969034275704241,10.682257974887456,14.81957074220997,4.1373127673225145,41.39131854818906,64.88731630661675
Migratory strategy,long-distance,44,DB46,DB46,DB46,1970s,2010s,0.20434721568892078,0.25119870397055916,0.046851488281638376,4.6980018724649115,21.53692535869409,16.83892348622918,22.990290602328113,85.73661017462196
Migratory strategy,long-distance,44,DB52,DB52,DB52,1970s,2010s,0.2507440919342651,0.24971310380974737,-0.00103098812451774,9.444708237956277,15.45719415900445,6.012485921048173,37.66672293292675,61.89981191688303
Migratory strategy,long-distance,44,DB53,DB53,DB53,1970s,2010s,0.24233942109400114,0.23510315256346934,-0.007236268530531803,10.259889427315638,15.47943933063836,5.219549903322722,42.336857045374906,65.84105386021768
Migratory strategy,long-distance,44,DB54,DB54,DB54,1970s,2010s,0.24760879547065817,0.2342626661497252,-0.013346129320932959,13.139052060170227,17.597616976449842,4.458564916279615,53.063753390485736,75.11916971525719
Migratory strategy,long-distance,44,DB55,DB55,DB55,1970s,2010s,0.22996023721883066,0.2521621692418658,0.022201932023035137,13.194514053340361,20.967529677997025,7.773015624656663,57.377371900971006,83.1509728086359
Migratory strategy,long-distance,44,DB56,DB56,DB56,1970s,2010s,0.23952341548488967,0.2589676299276753,0.01944421444278563,12.502944650369939,19.317920140096685,6.814975489726747,52.19925836920393,74.59588731414738
Migratory strategy,long-distance,44,DB57,DB57,DB57,1970s,2010s,0.2477103343728555,0.2487401011305688,0.0010297667577132963,11.333480148301264,19.84058895178028,8.507108803479015,45.7529564803785,79.76433579306759
Migratory strategy,long-distance,44,DB60,DB60,DB60,1970s,2010s,0.2491413536975387,0.22795790255523135,-0.021183451142307352,11.747804526813082,11.231639904380408,-0.5161646224326741,47.153169686454746,49.27067576285987
Migratory strategy,long-distance,44,DB62,DB62,DB62,1970s,2010s,0.2561304966927146,0.2508329935159957,-0.0052975031767188985,11.54211749122489,14.90315737223743,3.361039881012541,45.063425247139634,59.41466137821718
Migratory strategy,long-distance,44,DB63,DB63,DB63,1970s,2010s,0.21327682824629093,0.24837109980977187,0.03509427156348094,9.515515732332307,15.268711770536562,5.753196038204255,44.61579727425354,61.47539622053819
Migratory strategy,long-distance,44,DB64,DB64,DB64,1970s,2010s,0.21312447447799063,0.2605092411878933,0.04738476670990269,11.119178542459036,17.840808637042404,6.721630094583368,52.172227378828396,68.48435992400995
Migratory strategy,long-distance,44,DB65,DB65,DB65,1970s,2010s,0.23076871844653324,0.2638288345657235,0.03306011611919024,10.463152746295968,18.69159794717988,8.228445200883911,45.34042922598356,70.84744159199755
Migratory strategy,long-distance,44,DB66,DB66,DB66,1970s,2010s,0.24481460630870372,0.25232664794464266,0.0075120416359389375,10.607963819597856,17.62952208348911,7.021558263891254,43.33060016125647,69.86785671308411
Migratory strategy,long-distance,44,DB67,DB67,DB67,1970s,2010s,0.2519666296636582,0.2533480001950226,0.0013813705313644453,12.860107194332631,20.843053290417952,7.982946096085321,51.0389300817301,82.27044726768457
Migratory strategy,long-distance,44,DB68,DB68,DB68,1970s,2010s,0.2543122056232801,0.2826229252330731,0.028310719609792978,6.981110821821753,13.850091431316917,6.868980609495164,27.450946779027472,49.00554836411463
Migratory strategy,long-distance,44,DB70,DB70,DB70,1970s,2010s,0.2823839582601437,0.24242248223188342,-0.03996147602826025,11.535036656429572,12.886767667098484,1.351731010668912,40.848767499048314,53.15830259823821
Migratory strategy,long-distance,44,DB71,DB71,DB71,1970s,2010s,0.24382884091636572,0.2377124135875914,-0.006116427328774321,7.909640238024355,13.977048261418478,6.0674080233941226,32.43931361154029,58.79814205103877
Migratory strategy,long-distance,44,DB72,DB72,DB72,1970s,2010s,0.25652169517474266,0.24239603588613315,-0.01412565928860951,14.341762818232363,14.762938331453284,0.4211755132209216,55.908576498618366,60.90420694168553
Migratory strategy,long-distance,44,DB73,DB73,DB73,1970s,2010s,0.22366894849036417,0.2422706939855749,0.018601745495210736,10.545284828867159,15.199308553778373,4.654023724911214,47.146843135990586,62.736884530835404
Migratory strategy,long-distance,44,DB74,DB74,DB74,1970s,2010s,0.24657773939279898,0.2625493025196958,0.01597156312689685,11.919701680668952,17.02751357543891,5.107811894769958,48.34054245943441,64.8545374602987
Migratory strategy,long-distance,44,DB75,DB75,DB75,1970s,2010s,0.2488439202372428,0.2674547878043628,0.01861086756712002,11.312326676544636,16.56067620227284,5.248349525728205,45.459526058581986,61.91953540344398
Migratory strategy,long-distance,44,DB77,DB77,DB77,1970s,2010s,0.2391227114811496,0.25811283647267186,0.01899012499152225,10.060247488820169,17.310117463993986,7.249869975173818,42.07148466369424,67.06414799260371
Migratory strategy,long-distance,44,DB78,DB78,DB78,1970s,2010s,0.2517454564490258,0.2622167462006933,0.0104712897516675,12.661179753221688,18.56903380664852,5.907854053426831,50.29357801254047,70.81559082590516
Migratory strategy,long-distance,44,DB79,DB79,DB79,1970s,2010s,0.23160365034310032,0.294309686499556,0.0627060361564557,8.326183970088687,15.798071978128243,7.471888008039556,35.950141363291046,53.67839627035883
Migratory strategy,long-distance,44,DB80,DB80,DB80,1970s,2010s,0.2465978901564201,0.23939910424186497,-0.007198785914555139,7.642685741835644,13.096882992851413,5.454197251015769,30.992502559481725,54.707318284782005
Migratory strategy,long-distance,44,BD26,BD26,BD26,1970s,2010s,0.2716515321361824,0.2509683492927132,-0.020683182843469206,17.577496938257006,16.70154235357868,-0.8759545846783254,64.70604748676764,66.54840102605561
Migratory strategy,long-distance,44,DB81,DB81,DB81,1970s,2010s,0.2540234407367117,0.22785090498105262,-0.02617253575565906,9.86478009308922,11.777880374258089,1.9131002811688695,38.83413304094953,51.6911722393093
Migratory strategy,long-distance,44,DB82,DB82,DB82,1970s,2010s,0.25725292238073805,0.24677945584141348,-0.010473466539324572,14.119427158980987,11.345929494612635,-2.7734976643683513,54.88539072098092,45.97598878694265
Migratory strategy,long-distance,44,DB83,DB83,DB83,1970s,2010s,0.27024699680023834,0.22702779001031814,-0.043219206789920195,16.719374885232025,15.502228611576257,-1.2171462736557679,61.86701455776281,68.28339654309148
Migratory strategy,long-distance,44,DB89,DB89,DB89,1970s,2010s,0.25479843687527876,0.252512726105549,-0.0022857107697297763,14.550088144502897,15.631224465085097,1.0811363205821998,57.10430692957908,61.90271954274229
Migratory strategy,long-distance,44,DC00,DC00,DC00,1970s,2010s,0.264924772823944,0.23182682352902487,-0.03309794929491913,19.15772352045055,23.703621520200716,4.545897999750167,72.31382447266202,102.24710479731439
Migratory strategy,long-distance,44,DC01,DC01,DC01,1970s,2010s,0.2728867552565199,0.239283069294965,-0.033603685961554886,14.39990888474377,23.165446358190163,8.765537473446393,52.76880833299337,96.81189073027997
Migratory strategy,long-distance,44,DC02,DC02,DC02,1970s,2010s,0.2651913045999951,0.23084056525422253,-0.034350739345772596,13.892450142249412,18.168879162131123,4.276429019881711,52.38652211166681,78.70747995319587
Migratory strategy,long-distance,44,BD27,BD27,BD27,1970s,2010s,0.2423306033467433,0.2412177433523026,-0.001112859994440718,13.286472435087552,13.387524923473912,0.10105248838635994,54.827876675882955,55.4997519561453
Migratory strategy,long-distance,44,DC03,DC03,DC03,1970s,2010s,0.2725298714879573,0.23277438434717634,-0.039755487140780976,11.75049434631071,17.102681918389685,5.352187572078975,43.116353749243764,73.4732129841294
Migratory strategy,long-distance,44,DC04,DC04,DC04,1970s,2010s,0.26962107598428436,0.23497297290108196,-0.0346481030832024,17.569309780255644,18.63401285674613,1.0647030764904848,65.16296886701736,79.30279226024265
Migratory strategy,long-distance,44,DC05,DC05,DC05,1970s,2010s,0.2697614763485311,0.24398418133818287,-0.025777295010348228,13.09098634497003,15.92340901529871,2.832422670328679,48.52800526661009,65.26410412332227
Migratory strategy,long-distance,44,DC10,DC10,DC10,1970s,2010s,0.2711667993889026,0.2405592184213403,-0.030607580967562303,14.41456570448714,16.53235209340444,2.1177863889173008,53.15756109144478,68.72466664090989
Migratory strategy,long-distance,44,DC11,DC11,DC11,1970s,2010s,0.2689359580812737,0.24446535270930633,-0.024470605371967352,18.967851738033605,19.25796780577616,0.29011606774255583,70.52925117697141,78.77585756978742
Migratory strategy,long-distance,44,DC12,DC12,DC12,1970s,2010s,0.22520034107113834,0.2338074492916486,0.008607108220510251,9.611917146871786,15.34091555568619,5.7289984088144035,42.68162783925574,65.61345928952895
Migratory strategy,long-distance,44,DC13,DC13,DC13,1970s,2010s,0.25070386859988114,0.2336457733682192,-0.017058095231661935,9.28216632864187,19.689439727107032,10.407273398465163,37.02442399664777,84.270472533124
Migratory strategy,long-distance,44,DC14,DC14,DC14,1970s,2010s,0.2881839201942831,0.21524961787964744,-0.07293430231463569,14.186495033503155,17.701173631830386,3.5146785983272313,49.22722622393066,82.23556355731905
Migratory strategy,long-distance,44,DC15,DC15,DC15,1970s,2010s,0.2558581234301858,0.22138994233519058,-0.03446818109499525,14.001228844136952,16.701822884583137,2.7005940404461857,54.72262774551837,75.44074815872217
Migratory strategy,long-distance,44,BD28,BD28,BD28,1970s,2010s,0.2558002374728931,0.2384515090671333,-0.017348728405759795,14.849108578423472,10.452769838527336,-4.3963387398961356,58.04962780770294,43.83603978612053
Migratory strategy,long-distance,44,DC16,DC16,DC16,1970s,2010s,0.23415978518154262,0.23690363090498803,0.0027438457234454094,10.523351504994244,15.013313940799481,4.4899624358052375,44.94090006460996,63.37308501118196
Migratory strategy,long-distance,44,DC17,DC17,DC17,1970s,2010s,0.27330637640887606,0.2459977468659191,-0.027308629542956958,12.757696980531394,14.227415026545817,1.4697180460144228,46.679104776704605,57.83555015363803
Migratory strategy,long-distance,44,DC18,DC18,DC18,1970s,2010s,0.27444269891957374,0.2585536450818,-0.015889053837773726,14.791106704076345,15.327648098891258,0.5365413948149129,53.89506356811818,59.282274260886815
Migratory strategy,long-distance,44,DC19,DC19,DC19,1970s,2010s,0.2667000509157257,0.23290112775231034,-0.033798923163415345,14.448779771638605,15.15885940481732,0.7100796331787151,54.17614178185614,65.0871017719533
Migratory strategy,long-distance,44,DC20,DC20,DC20,1970s,2010s,0.2732755196711448,0.25419630088514134,-0.019079218786003438,11.458454878945657,14.804884809017338,3.3464299300716807,41.93004515272562,58.241936477694566
Migratory strategy,long-distance,44,DC21,DC21,DC21,1970s,2010s,0.27657037397504985,0.25226445887110815,-0.0243059151039417,13.258974259268653,17.277459277212696,4.018485017944043,47.94068890569161,68.489470750378
