"foraging_guild","sti.n","sti.mean","sti.median","sti.sd","sti.min","sti.max"
"Passerine seedeaters",12,11.7866982348833,12.43171483675,1.73504748064458,8.1923087262,13.8814196118
"Tit-like birds",12,12.4367948472917,12.5022398211,0.948765483946182,10.8075146552,13.8972978687
"Foliage gleaners",9,11.7441962831778,11.6399285102,0.710748933659497,10.4596695622,12.6535890847
"Low flycatching feeders",9,11.7442924737667,11.6202368597,0.698557299212599,10.9083374064,13.2394438706
"Scolopacids",9,9.6210045926,10.0493203009,1.67926658054452,7.0663752664,12.0468335512
"Dabbling ducks",7,11.3020411884571,11.8110548425,1.46540635580563,8.5273453088,12.5158986156
"Diurnal raptors",7,12.5311410051,12.4263636442,0.719016399196343,11.8007973825,13.6904029809
"Omnivorous corvids",7,12.3302115475143,12.155826028,0.41594162629851,11.7378412998,12.9581704982
"Aquatic pursuers",6,11.1186023010667,12.31237041395,2.75226655960739,7.3724850113,13.4633891991
"Marsh warblers",6,12.6717429013333,12.70024150755,1.01674253323428,11.3913898283,13.8793523116
"Open-land insectivores",6,12.1090290312167,12.1676442593,1.19944418987345,9.9487726902,13.4719748078
"Plovers",6,12.3152105252667,12.1527691047,2.90000234887495,8.2214626932,16.3071703744
"Gulls",5,9.19753859508,8.9178677716,1.0805706601147,8.3694639418,11.0679667544
"Owls",5,12.59737795222,12.8738657057,1.84183288823862,9.6200242401,14.2083192272
"Rails",5,12.80060931612,12.9624637063,0.599930286337399,11.9688491073,13.3437206998
"Terns",5,11.42683218198,12.309341223,2.75621109601777,6.7214988279,13.6554594356
"Woodpeckers",5,11.92168239776,11.8812540667,0.681914109035267,11.1193962821,12.9413688865
"Aerial insectivores",4,12.294926746275,12.38879123105,0.230755465906096,11.9550761988,12.4470483242
"Columbids",4,12.834920001225,12.67602284805,0.685464230292482,12.2214205187,13.7662137901
"Thrushes",4,11.480856777225,11.6551873763,1.08349404810564,10.0287125382,12.5843398181
"Buntings",3,12.3515502292333,11.5528442066,1.63407318308362,11.2704483494,14.2313581317
"Diving ducks",3,10.2509377923333,10.1385920012,2.14049356233472,8.1688294838,12.445391892
"Flycatchers",3,11.3917664393,11.5985667049,0.879288326895702,10.4275102213,12.1492223917
"Gallinaceous birds",2,13.2233312694,13.2233312694,0.533077010331422,12.8463889005,13.6002736383
"Grazing waterfowl",2,11.6927966561,11.6927966561,0.703083357460889,11.1956416463,12.1899516659
"Shrikes",2,11.91415019245,11.91415019245,1.00371909679474,11.2044136127,12.6238867722
"Wading birds",2,12.9010101226,12.9010101226,0.292192036333325,12.6943991523,13.1076210929
"Cuckoos",1,12.1394391784,12.1394391784,NA,12.1394391784,12.1394391784
"Dippers",1,11.0150016531,11.0150016531,NA,11.0150016531,11.0150016531
"Kingfishers",1,13.5319163712,13.5319163712,NA,13.5319163712,13.5319163712
"Nigthjars",1,13.110333547,13.110333547,NA,13.110333547,13.110333547
"Orioles",1,13.4707159049,13.4707159049,NA,13.4707159049,13.4707159049
"Reedlings",1,13.8780278318,13.8780278318,NA,13.8780278318,13.8780278318
"Starlings",1,11.8027600322,11.8027600322,NA,11.8027600322,11.8027600322
