"survey","site","atlas","period","warbler_richness"
"AD90_1","AD90","1","1970s",7
"AE83_1","AE83","1","1970s",0
"BD19_1","BD19","1","1970s",9
"DC09_1","DC09","1","1970s",5
"DA80_1","DA80","1","1970s",4
"DA90_1","DA90","1","1970s",8
"DB10_1","DB10","1","1970s",2
"DB11_1","DB11","1","1970s",8
"DB12_1","DB12","1","1970s",3
"DB13_1","DB13","1","1970s",2
"DB14_1","DB14","1","1970s",7
"DB15_1","DB15","1","1970s",7
"DB16_1","DB16","1","1970s",8
"BD20_1","BD20","1","1970s",5
"DB20_1","DB20","1","1970s",3
"DB21_1","DB21","1","1970s",8
"DB22_1","DB22","1","1970s",5
"DB23_1","DB23","1","1970s",2
"DB24_1","DB24","1","1970s",6
"DB25_1","DB25","1","1970s",6
"DB26_1","DB26","1","1970s",7
"DB30_1","DB30","1","1970s",3
"DB31_1","DB31","1","1970s",8
"DB32_1","DB32","1","1970s",9
"BD21_1","BD21","1","1970s",7
"DB33_1","DB33","1","1970s",4
"DB34_1","DB34","1","1970s",9
"DB35_1","DB35","1","1970s",7
"DB36_1","DB36","1","1970s",4
"DB40_1","DB40","1","1970s",9
"DB41_1","DB41","1","1970s",6
"DB42_1","DB42","1","1970s",9
"DB43_1","DB43","1","1970s",6
"DB44_1","DB44","1","1970s",9
"DB45_1","DB45","1","1970s",2
"BD22_1","BD22","1","1970s",7
"DB46_1","DB46","1","1970s",1
"DB47_1","DB47","1","1970s",7
"DB50_1","DB50","1","1970s",0
"DB51_1","DB51","1","1970s",2
"DB52_1","DB52","1","1970s",5
"DB53_1","DB53","1","1970s",6
"DB54_1","DB54","1","1970s",8
"DB55_1","DB55","1","1970s",8
"DB56_1","DB56","1","1970s",8
"DB57_1","DB57","1","1970s",7
"BD23_1","BD23","1","1970s",5
"DB60_1","DB60","1","1970s",7
"DB61_1","DB61","1","1970s",0
"DB62_1","DB62","1","1970s",10
"DB63_1","DB63","1","1970s",5
"DB64_1","DB64","1","1970s",8
"DB65_1","DB65","1","1970s",4
"DB66_1","DB66","1","1970s",6
"DB67_1","DB67","1","1970s",7
"DB68_1","DB68","1","1970s",2
"DB70_1","DB70","1","1970s",6
"BD24_1","BD24","1","1970s",5
"DB71_1","DB71","1","1970s",8
"DB72_1","DB72","1","1970s",10
"DB73_1","DB73","1","1970s",6
"DB74_1","DB74","1","1970s",8
"DB75_1","DB75","1","1970s",4
"DB76_1","DB76","1","1970s",6
"DB77_1","DB77","1","1970s",6
"DB78_1","DB78","1","1970s",6
"DB79_1","DB79","1","1970s",2
"DB80_1","DB80","1","1970s",6
"BD26_1","BD26","1","1970s",9
"DB81_1","DB81","1","1970s",7
"DB82_1","DB82","1","1970s",10
"DB83_1","DB83","1","1970s",11
"DB84_1","DB84","1","1970s",9
"DB89_1","DB89","1","1970s",9
"DB94_1","DB94","1","1970s",2
"DB99_1","DB99","1","1970s",0
"DC00_1","DC00","1","1970s",10
"DC01_1","DC01","1","1970s",10
"DC02_1","DC02","1","1970s",9
"BD27_1","BD27","1","1970s",7
"DC03_1","DC03","1","1970s",6
"DC04_1","DC04","1","1970s",8
"DC05_1","DC05","1","1970s",6
"DC06_1","DC06","1","1970s",5
"DC10_1","DC10","1","1970s",10
"DC11_1","DC11","1","1970s",10
"DC12_1","DC12","1","1970s",4
"DC13_1","DC13","1","1970s",8
"DC14_1","DC14","1","1970s",9
"DC15_1","DC15","1","1970s",6
"BD28_1","BD28","1","1970s",8
"DC16_1","DC16","1","1970s",4
"DC17_1","DC17","1","1970s",8
"DC18_1","DC18","1","1970s",9
"DC19_1","DC19","1","1970s",6
"DC20_1","DC20","1","1970s",9
"DC21_1","DC21","1","1970s",9
"DC22_1","DC22","1","1970s",8
"DC23_1","DC23","1","1970s",11
"DC24_1","DC24","1","1970s",4
"DC25_1","DC25","1","1970s",6
"BD29_1","BD29","1","1970s",4
"DC26_1","DC26","1","1970s",9
"DC27_1","DC27","1","1970s",10
"DC28_1","DC28","1","1970s",8
"DC29_1","DC29","1","1970s",0
"DC30_1","DC30","1","1970s",8
"DC31_1","DC31","1","1970s",7
"DC32_1","DC32","1","1970s",9
"DC33_1","DC33","1","1970s",9
"DC34_1","DC34","1","1970s",6
"DC35_1","DC35","1","1970s",6
"AE90_1","AE90","1","1970s",4
"BD30_1","BD30","1","1970s",1
"DC36_1","DC36","1","1970s",7
"DC37_1","DC37","1","1970s",4
"DC38_1","DC38","1","1970s",3
"DC39_1","DC39","1","1970s",5
"DC40_1","DC40","1","1970s",7
"DC41_1","DC41","1","1970s",7
"DC42_1","DC42","1","1970s",8
"DC43_1","DC43","1","1970s",6
"DC44_1","DC44","1","1970s",3
"DC45_1","DC45","1","1970s",7
"BD31_1","BD31","1","1970s",6
"DC46_1","DC46","1","1970s",4
"DC47_1","DC47","1","1970s",0
"DC48_1","DC48","1","1970s",6
"DC49_1","DC49","1","1970s",4
"DC50_1","DC50","1","1970s",6
"DC51_1","DC51","1","1970s",3
"DC52_1","DC52","1","1970s",0
"DC53_1","DC53","1","1970s",8
"DC54_1","DC54","1","1970s",6
"DC55_1","DC55","1","1970s",6
"BD32_1","BD32","1","1970s",7
"DC56_1","DC56","1","1970s",10
"DC57_1","DC57","1","1970s",7
"DC58_1","DC58","1","1970s",4
"DC59_1","DC59","1","1970s",6
"DC62_1","DC62","1","1970s",0
"DC63_1","DC63","1","1970s",4
"DC64_1","DC64","1","1970s",3
"DC65_1","DC65","1","1970s",5
"DC66_1","DC66","1","1970s",7
"DC67_1","DC67","1","1970s",0
"BD33_1","BD33","1","1970s",6
"DC68_1","DC68","1","1970s",0
"DC69_1","DC69","1","1970s",7
"DC76_1","DC76","1","1970s",0
"DC77_1","DC77","1","1970s",0
"DC78_1","DC78","1","1970s",0
"DC79_1","DC79","1","1970s",6
