"species","avonet_species","family","genus","common_name","plot_label"
"Acrocephalus_arundinaceus","Acrocephalus arundinaceus","Acrocephalidae","Acrocephalus","Great Reed Warbler","Great Reed Warbler
Acrocephalus arundinaceus"
"Acrocephalus_palustris","Acrocephalus palustris","Acrocephalidae","Acrocephalus","Marsh Warbler","Marsh Warbler
Acrocephalus palustris"
"Acrocephalus_schoenobaenus","Acrocephalus schoenobaenus","Acrocephalidae","Acrocephalus","Sedge Warbler","Sedge Warbler
Acrocephalus schoenobaenus"
"Acrocephalus_scirpaceus","Acrocephalus scirpaceus","Acrocephalidae","Acrocephalus","European Reed Warbler","European Reed Warbler
Acrocephalus scirpaceus"
"Hippolais_icterina","Hippolais icterina","Acrocephalidae","Hippolais","Icterine Warbler","Icterine Warbler
Hippolais icterina"
"Locustella_fluviatilis","Locustella fluviatilis","Locustellidae","Locustella","River Warbler","River Warbler
Locustella fluviatilis"
"Locustella_luscinioides","Locustella luscinioides","Locustellidae","Locustella","Savi's Warbler","Savi's Warbler
Locustella luscinioides"
"Locustella_naevia","Locustella naevia","Locustellidae","Locustella","Common Grasshopper Warbler","Common Grasshopper Warbler
Locustella naevia"
"Phylloscopus_collybita","Phylloscopus collybita","Phylloscopidae","Phylloscopus","Northern Chiffchaff","Northern Chiffchaff
Phylloscopus collybita"
"Phylloscopus_sibilatrix","Phylloscopus sibilatrix","Phylloscopidae","Phylloscopus","Wood Warbler","Wood Warbler
Phylloscopus sibilatrix"
"Phylloscopus_trochiloides","Phylloscopus trochiloides","Phylloscopidae","Phylloscopus","Greenish Warbler","Greenish Warbler
Phylloscopus trochiloides"
"Phylloscopus_trochilus","Phylloscopus trochilus","Phylloscopidae","Phylloscopus","Willow Warbler","Willow Warbler
Phylloscopus trochilus"
"Curruca_communis","Curruca communis","Sylviidae","Curruca","Common Whitethroat","Common Whitethroat
Curruca communis"
"Curruca_curruca","Curruca curruca","Sylviidae","Curruca","Lesser Whitethroat","Lesser Whitethroat
Curruca curruca"
"Curruca_nisoria","Curruca nisoria","Sylviidae","Curruca","Barred Warbler","Barred Warbler
Curruca nisoria"
"Sylvia_atricapilla","Sylvia atricapilla","Sylviidae","Sylvia","Blackcap","Blackcap
Sylvia atricapilla"
"Sylvia_borin","Sylvia borin","Sylviidae","Sylvia","Garden Warbler","Garden Warbler
Sylvia borin"
